t,y
0.021,0.45
0.041,0.461
0.061,0.475
0.081,0.495
0.102,0.504
0.121,0.514
0.142,0.53
0.161,0.535
0.182,0.542
0.202,0.551
0.221,0.56
0.241,0.572
0.261,0.58
0.281,0.587
0.301,0.593
0.322,0.601
0.341,0.613
0.362,0.627
0.381,-4.439
0.402,-8.41
0.422,-13.221
0.442,-18.455
0.461,-22.591
0.482,-27.688
0.501,-31.915
0.52,-35.001
0.54,-37.214
0.56,-38.064
0.58,-38.045
0.6,-36.828
0.621,-34.578
0.64,-31.464
0.661,-26.871
0.681,-21.935
0.701,-17.028
0.721,-12.021
0.742,-6.924
0.761,-2.28
0.782,2.868
0.802,7.689
0.822,12.56
0.842,17.412
0.863,22.414
0.882,26.962
0.902,31.277
0.923,34.848
0.942,37.102
0.963,38.539
0.983,38.875
1.003,38.183
1.023,36.542
1.044,33.86
1.063,30.592
1.084,26.183
1.104,21.305
1.124,16.294
1.144,11.326
1.165,6.082
1.184,1.39
1.205,-3.793
1.225,-8.68
1.244,-13.273
1.264,-18.077
1.284,-22.758
1.304,-26.704
1.324,-29.765
1.345,-32.097
1.364,-33.311
1.384,-33.727
1.404,-33.24
1.425,-31.91
1.444,-29.809
1.465,-26.781
1.485,-23.331
1.505,-19.118
1.525,-14.406
1.546,-9.194
1.565,-4.491
1.585,0.414
1.605,5.288
1.624,9.889
1.645,14.952
1.665,19.147
1.685,23.061
1.705,26.3
1.726,29.012
1.745,30.747
1.766,31.861
1.786,32.118
1.806,31.596
1.826,30.341
1.847,28.335
1.866,25.891
1.887,22.616
1.907,19.004
1.926,15.2
1.947,10.709
1.967,6.359
1.987,1.809
2.007,-2.645
2.028,-7.151
2.047,-11.016
2.068,-14.879
2.088,-18.15
2.108,-20.828
2.128,-22.928
2.149,-24.435
2.168,-25.114
2.188,-25.207
2.208,-24.618
2.229,-23.443
2.248,-21.73
2.268,-19.404
2.288,-16.655
2.307,-13.661
2.328,-10.03
2.348,-6.376
2.368,-2.602
2.388,1.205
2.409,5.12
2.428,8.438
2.449,11.895
2.469,14.85
2.489,17.37
2.509,19.425
2.53,21.025
2.549,21.93
2.57,22.351
2.59,22.177
2.609,21.517
2.629,20.353
2.649,18.735
2.669,16.72
2.688,14.472
2.709,11.695
2.728,8.97
2.748,6.08
2.768,2.983
2.788,-0.042
2.808,-2.99
2.829,-5.975
2.848,-8.432
2.869,-10.874
2.889,-12.835
2.908,-14.268
2.928,-15.37
2.948,-16.012
2.968,-16.196
2.987,-15.962
3.008,-15.27
3.028,-14.194
3.048,-12.757
3.068,-11.022
3.089,-8.94
3.108,-6.842
3.129,-4.365
3.149,-1.945
3.169,0.507
3.189,2.91
3.21,5.22
3.229,7.274
3.249,9.201
3.268,10.784
3.287,12.024
3.308,13.131
3.328,13.774
3.348,14.08
3.368,14.009
3.389,13.594
3.408,12.904
3.429,11.85
3.449,10.608
3.469,9.153
3.489,7.531
3.51,5.704
3.529,3.992
3.549,2.033
3.569,0.384
3.588,-1.295
3.609,-3.06
3.628,-4.482
3.648,-5.741
3.668,-6.844
3.688,-7.681
3.707,-8.206
3.728,-8.537
3.747,-8.563
3.767,-8.34
3.787,-7.897
3.807,-7.236
3.826,-6.442
3.846,-5.453
3.866,-4.343
3.886,-3.127
3.907,-1.778
3.926,-0.529
3.947,0.844
3.967,2.108
3.987,3.298
4.007,4.393
4.028,5.417
4.047,6.184
4.068,6.847
4.088,7.268
4.108,7.51
4.128,7.537
4.148,7.376
4.167,7.086
4.187,6.64
4.207,6.07
4.227,5.388
4.248,4.598
4.267,3.817
4.288,2.923
4.308,2.093
4.328,1.227
4.348,0.409
4.369,-0.339
4.388,-0.988
4.409,-1.607
4.428,-2.062
4.448,-2.395
