t,y
0.021,-0.209
0.041,-0.196
0.061,0.051
0.08,0.359
0.101,0.177
0.121,0.314
0.141,0.386
0.161,0.213
0.182,0.199
0.201,0.29
0.221,0.243
0.241,0.247
0.26,0.336
0.28,0.324
0.3,0.307
0.321,0.352
0.34,0.35
0.361,0.321
0.381,0.349
0.401,0.381
0.421,0.367
0.442,0.389
0.461,0.405
0.481,0.393
0.501,0.39
0.522,0.407
0.541,0.417
0.561,0.42
0.581,0.436
0.6,0.453
0.621,0.444
0.641,0.456
0.661,0.461
0.68,0.466
0.701,-6.494
0.721,-10.63
0.741,-14.742
0.76,-19.836
0.781,-26.328
0.801,-30.781
0.821,-35.363
0.84,-38.528
0.86,-40.462
0.88,-39.678
0.899,-39.153
0.919,-35.942
0.939,-32.035
0.96,-27.486
0.979,-22.828
0.999,-16.96
1.019,-13.576
1.04,-8.37
1.059,-2.966
1.079,0.161
1.099,4.808
1.12,8.024
1.139,11.168
1.159,14.299
1.179,17.327
1.198,19.75
1.218,22.205
1.238,24.519
1.259,26.239
1.278,27.773
1.298,28.83
1.318,29.823
1.339,29.896
1.358,29.464
1.378,29.041
1.398,28.06
1.419,26.828
1.438,25.03
1.457,23.157
1.477,21.568
1.497,19.288
1.517,17.092
1.536,15.044
1.557,12.761
1.577,10.147
1.597,8.66
1.617,7.852
1.638,6.443
1.657,5.328
1.677,3.952
1.697,2.558
1.718,1.206
1.737,-0.186
1.757,-1.71
1.777,-3.149
1.796,-3.727
1.816,-4.909
1.836,-5.122
1.857,-5.685
1.876,-5.434
1.896,-5.197
1.916,-4.399
1.937,-3.791
1.956,-2.859
1.977,-1.869
1.997,-1.119
2.017,-0.169
2.036,0.223
2.056,1.193
2.076,1.893
2.095,2.633
2.116,3.828
2.136,3.542
2.156,3.665
2.175,3.924
2.196,3.98
2.216,4.288
2.236,4.746
2.256,4.971
2.277,5.531
2.296,5.658
2.316,5.964
2.336,5.971
2.357,6.211
2.376,5.646
2.396,5.931
2.416,5.402
2.436,5.07
2.456,4.926
2.476,4.28
2.497,4.13
2.516,3.719
2.537,3.259
2.557,3.115
2.577,2.744
2.596,2.432
2.617,2.251
2.637,2.012
2.657,1.707
2.677,1.621
2.698,1.345
2.717,1.771
2.736,2.149
2.757,2.719
2.777,2.947
2.797,2.874
2.817,2.886
2.838,2.491
2.857,2.329
2.877,2.049
2.897,1.797
2.918,1.678
2.937,1.521
2.958,1.387
2.978,1.362
2.998,1.331
3.017,1.298
3.037,1.33
3.057,1.332
3.076,1.312
3.097,1.37
3.117,1.368
3.137,1.317
3.156,1.362
3.177,1.367
3.197,1.318
3.217,1.335
3.236,1.326
3.257,1.276
3.277,1.297
3.297,1.427
3.317,1.346
3.338,1.351
3.357,1.351
3.376,1.3
3.397,1.275
3.417,1.314
3.437,1.284
3.457,1.224
3.478,1.237
3.497,1.231
3.517,1.189
3.537,1.177
3.558,1.181
3.577,1.163
3.598,1.142
3.618,1.143
3.638,1.121
3.657,1.101
3.677,1.094
3.697,1.076
3.716,1.054
3.737,1.048
3.757,1.044
3.778,1.031
3.797,1.024
3.818,1.012
3.838,0.992
3.858,0.979
3.878,0.968
3.899,0.956
3.918,0.946
3.938,0.939
3.958,0.936
3.979,0.921
3.998,0.913
4.018,0.909
4.038,0.9
4.057,0.895
4.077,0.885
4.097,0.879
4.118,0.866
4.137,0.859
4.158,0.854
4.178,0.838
4.198,0.826
4.217,0.815
4.238,0.81
4.258,0.803
4.278,0.802
4.298,0.793
4.319,0.789
4.338,0.787
4.357,0.774
4.378,0.765
4.398,0.754
4.418,0.752
4.438,0.74
4.459,0.734
4.478,0.724
4.499,0.72
4.519,0.713
4.539,0.702
4.558,0.697
4.579,0.696
4.599,0.697
4.619,0.691
4.639,0.685
4.66,0.682
4.679,0.669
4.699,0.666
4.72,0.664
4.739,0.663
4.76,0.664
4.78,0.663
4.8,0.661
4.82,0.65
4.841,0.643
4.86,0.64
4.88,0.638
4.9,0.631
4.921,0.62
4.94,0.622
4.961,0.624
4.981,0.63
5,0.629
5.019,0.625
5.039,0.621
5.06,0.614
5.079,0.612
5.1,0.606
5.12,0.604
5.14,0.6
5.16,0.598
5.181,0.597
5.2,0.593
5.22,0.591
5.24,0.591
5.261,0.592
5.28,0.59
5.301,0.588
5.321,0.578
5.34,0.573
5.359,0.567
5.379,0.564
5.4,0.56
5.419,0.552
5.44,0.554
5.46,0.552
5.48,0.548
5.5,0.554
5.521,0.554
5.54,0.554
5.56,0.554
5.58,0.549
5.601,0.553
5.62,0.545
5.64,0.542
5.66,0.536
5.679,0.534
5.699,0.534
5.719,0.537
5.74,0.536
5.759,0.53
5.78,0.527
5.8,0.53
5.82,0.528
5.839,0.527
5.86,0.528
5.88,0.527
5.9,0.527
5.92,0.522
5.941,0.522
5.96,0.524
5.98,0.524
6,0.512
6.02,0.511
6.04,0.506
6.06,0.502
6.081,0.498
6.1,0.5
6.121,0.497
6.141,0.502
6.161,0.499
6.18,0.494
6.201,0.494
6.221,0.498
6.241,0.495
6.261,0.49
6.282,0.487
6.301,0.485
6.321,0.485
6.341,0.488
6.36,0.49
6.38,0.486
6.4,0.483
6.421,0.48
6.44,0.478
6.461,0.477
6.481,0.469
6.501,0.471
6.52,0.475
6.541,0.476
6.561,0.476
6.581,0.478
6.601,0.475
6.621,0.478
6.64,0.485
6.659,0.491
6.68,0.491
6.7,0.489
6.72,0.49
6.74,0.493
6.761,0.489
6.78,0.484
6.801,0.489
6.821,0.483
6.841,0.474
6.86,0.474
6.881,0.482
6.901,0.481
6.92,0.488
6.94,0.488
6.96,0.49
6.98,0.492
6.999,0.49
7.02,0.496
7.04,0.494
7.06,0.493
7.08,0.497
7.101,0.494
7.12,0.501
7.141,0.494
7.161,0.491
7.181,0.489
7.201,0.489
7.222,0.49
7.241,0.483
7.26,0.483
7.28,0.485
7.3,0.487
7.32,0.473
7.34,0.469
7.361,0.471
7.38,0.473
7.4,0.473
7.42,0.466
7.441,0.458
7.46,0.453
7.481,0.451
7.501,0.452
7.521,0.455
7.54,0.457
7.56,0.464
7.58,0.463
7.599,0.453
7.62,0.448
7.64,0.445
7.66,0.442
7.679,0.444
7.7,0.441
7.72,0.434
7.74,0.438
7.76,0.439
7.781,0.431
7.8,0.429
7.821,0.434
7.841,0.443
7.861,0.439
7.88,0.433
7.9,0.427
7.92,0.426
7.939,0.426
7.96,0.428
7.98,0.433
8,0.436
8.019,0.437
8.04,0.442
8.06,0.442
8.08,0.442
8.1,0.432
8.121,0.434
8.14,0.43
8.161,0.437
8.181,0.443
8.2,0.446
8.219,0.445
8.239,0.435
8.26,0.433
8.279,0.43
8.3,0.431
8.32,0.437
8.34,0.443
8.359,0.44
8.38,0.441
8.4,0.437
8.42,0.443
8.44,0.442
8.461,0.443
8.48,0.444
8.501,0.44
8.521,0.437
8.54,0.436
8.559,0.436
8.579,0.437
8.6,0.443
