t,y
0.021,0.046
0.041,0.12
0.061,0.424
0.08,0.358
0.101,0.556
0.121,0.283
0.141,0.395
0.161,0.256
0.182,0.257
0.201,0.285
0.22,0.255
0.24,0.307
0.26,0.349
0.28,0.35
0.299,0.373
0.32,0.395
0.34,0.384
0.36,0.397
0.38,0.414
0.401,0.424
0.42,0.438
0.44,0.466
0.46,0.479
0.481,0.489
0.5,0.495
0.52,0.504
0.54,0.509
0.56,0.52
0.58,0.527
0.6,0.541
0.621,-3.206
0.64,-7.02
0.66,-12.608
0.68,-16.92
0.701,-22.191
0.72,-27.409
0.74,-32.825
0.76,-37.588
0.781,-40.739
0.801,-40.215
0.821,-39.633
0.841,-36.881
0.861,-33.806
0.881,-28.851
0.9,-23.996
0.92,-19.09
0.94,-13.378
0.961,-8.145
0.98,-3.798
1,1.5
1.02,6.226
1.041,11.508
1.06,14.961
1.08,19.319
1.1,22.882
1.121,26.424
1.14,28.667
1.159,30.867
1.179,32.306
1.199,33.396
1.22,34.008
1.239,34.344
1.26,33.623
1.28,33.067
1.301,31.906
1.32,30.326
1.34,29.019
1.36,26.477
1.381,24.554
1.4,22.811
1.42,20.459
1.44,18.004
1.461,15.263
1.48,12.344
1.499,10.039
1.52,8.666
1.54,6.141
1.56,4.471
1.579,2.584
1.6,0.957
1.62,-1.107
1.64,-2.334
1.659,-3.914
1.68,-4.695
1.7,-5.966
1.72,-6.207
1.74,-7.072
1.761,-7.094
1.781,-7.152
1.8,-7.016
1.82,-6.267
1.84,-5.967
1.861,-4.869
1.88,-4.15
1.901,-3.133
1.921,-2.38
1.941,-1.175
1.96,-0.221
1.981,0.944
2.001,2.077
2.021,3.259
2.04,4.353
2.061,5.494
2.081,4.869
2.101,5.242
2.121,5.24
2.141,5.278
2.161,5.428
2.18,5.561
2.201,5.658
2.221,6.06
2.241,6.233
2.26,6.315
2.281,6.688
2.301,6.527
2.321,6.374
2.34,6.193
2.361,5.388
2.381,5.052
2.401,4.364
2.42,3.67
2.44,3.426
2.46,2.847
2.479,2.506
2.5,2.141
2.52,1.699
2.54,1.412
2.559,1.191
2.58,0.91
2.6,0.996
2.62,1.682
2.639,2.17
2.66,2.15
2.68,2.505
2.7,2.37
2.72,2.318
2.741,2.198
2.76,1.91
2.779,1.866
2.8,1.709
2.82,1.594
2.84,1.601
2.859,1.579
2.88,1.57
2.9,1.613
2.92,1.628
2.939,1.628
2.96,1.658
2.98,1.679
3,1.671
3.02,1.679
3.041,1.683
3.061,1.661
3.08,1.652
3.1,1.638
3.12,1.613
3.141,1.598
3.16,1.587
3.181,1.573
3.201,1.55
3.221,1.534
3.24,1.511
3.261,1.488
3.281,1.473
3.301,1.454
3.32,1.434
3.341,1.415
3.361,1.406
3.381,1.384
3.4,1.373
3.42,1.355
3.44,1.343
3.459,1.319
3.479,1.288
3.499,1.28
3.52,1.275
3.539,1.247
3.559,1.24
3.579,1.245
3.6,1.224
3.619,1.219
3.64,1.223
3.66,1.212
3.681,1.187
3.7,1.179
3.72,1.164
3.74,1.146
3.759,1.136
3.779,1.123
3.799,1.107
3.82,1.095
3.839,1.092
3.86,1.09
3.88,1.085
3.901,1.068
3.92,1.058
3.941,1.048
3.961,1.037
3.981,1.029
4,1.019
4.021,1.003
4.041,0.991
4.06,0.986
4.079,0.972
4.099,0.969
4.12,0.965
4.139,0.948
4.159,0.938
4.179,0.927
4.2,0.926
4.219,0.917
4.24,0.913
4.26,0.898
4.281,0.893
4.3,0.882
4.321,0.87
4.341,0.862
4.36,0.851
4.379,0.85
4.399,0.848
4.42,0.844
4.439,0.84
4.46,0.842
4.48,0.834
4.5,0.833
4.519,0.824
4.54,0.818
4.56,0.813
4.58,0.803
4.6,0.794
4.621,0.79
4.641,0.78
4.661,0.772
4.681,0.77
4.701,0.769
4.72,0.764
4.739,0.756
4.76,0.75
4.78,0.748
4.8,0.746
4.82,0.742
4.841,0.745
4.86,0.742
4.881,0.747
4.901,0.75
4.921,0.745
4.94,0.741
4.961,0.74
4.981,0.735
5,0.732
5.019,0.726
5.039,0.711
5.06,0.705
5.079,0.703
5.099,0.702
5.119,0.7
5.14,0.701
5.159,0.697
5.18,0.697
5.2,0.697
5.221,0.693
5.24,0.69
5.261,0.696
5.281,0.69
5.301,0.689
5.32,0.685
5.34,0.679
5.36,0.671
5.379,0.668
5.4,0.67
5.42,0.668
5.441,0.671
5.46,0.667
5.481,0.668
5.501,0.667
5.521,0.673
5.541,0.673
5.562,0.672
5.581,0.681
5.601,0.664
5.621,0.653
5.642,0.657
5.661,0.653
5.68,0.649
5.701,0.655
5.721,0.651
5.741,0.646
5.76,0.637
5.781,0.64
5.801,0.644
5.821,0.638
5.841,0.631
5.862,0.623
5.881,0.619
5.901,0.615
5.921,0.614
5.942,0.612
5.961,0.61
5.981,0.614
6.001,0.616
6.021,0.61
6.041,0.609
6.061,0.621
6.082,0.618
6.101,0.618
6.121,0.619
6.141,0.617
6.162,0.618
6.181,0.614
6.201,0.615
6.221,0.61
6.242,0.611
6.261,0.607
6.28,0.604
6.3,0.606
6.32,0.601
6.34,0.601
6.36,0.605
6.381,0.607
6.4,0.603
6.42,0.609
6.44,0.607
6.461,0.611
6.48,0.61
6.5,0.606
6.52,0.597
6.541,0.595
6.56,0.589
6.581,0.589
6.601,0.585
6.62,0.583
6.639,0.58
6.659,0.572
6.68,0.565
6.699,0.567
6.719,0.573
6.739,0.577
6.76,0.574
6.779,0.576
6.799,0.572
6.819,0.571
6.84,0.58
6.859,0.586
6.88,0.584
6.9,0.581
6.919,0.582
6.939,0.579
6.959,0.575
6.98,0.583
6.999,0.581
7.02,0.577
7.04,0.578
7.06,0.568
7.079,0.566
7.1,0.563
7.12,0.562
7.14,0.557
7.159,0.558
7.18,0.559
7.199,0.564
7.218,0.561
7.238,0.563
7.258,0.563
7.278,0.565
7.297,0.56
7.318,0.567
7.338,0.57
7.358,0.573
7.377,0.576
7.398,0.58
7.418,0.573
7.438,0.572
7.458,0.573
7.479,0.573
7.499,0.575
7.519,0.574
7.539,0.58
7.559,0.578
7.578,0.573
7.597,0.577
7.618,0.572
7.638,0.568
7.658,0.57
7.678,0.564
7.699,0.561
7.718,0.564
7.738,0.57
7.758,0.575
7.779,0.58
7.798,0.58
7.819,0.578
7.839,0.575
7.858,0.571
7.877,0.57
7.897,0.572
7.918,0.573
7.937,0.573
7.957,0.578
7.977,0.586
7.998,0.589
8.017,0.587
8.038,0.59
8.058,0.596
8.079,0.593
8.097,0.584
8.118,0.588
8.138,0.589
8.157,0.587
8.176,0.587
8.196,0.587
8.217,0.591
8.236,0.579
8.256,0.555
8.276,0.602
8.297,0.592
8.316,0.569
8.337,0.586
8.357,0.597
8.378,0.565
8.397,0.576
8.418,0.587
8.438,0.569
8.458,0.565
8.477,0.576
8.497,0.567
8.517,0.57
8.536,0.579
8.556,0.562
8.576,0.56
8.597,0.566
8.616,0.564
8.637,0.562
8.657,0.562
8.677,0.561
8.696,0.565
8.717,0.573
8.737,0.575
8.757,0.575
8.777,0.57
8.797,0.57
8.817,0.562
8.836,0.559
8.857,0.564
8.877,0.559
8.897,0.555
8.916,0.558
8.937,0.558
8.957,0.56
8.977,0.555
8.996,0.564
9.017,0.563
9.037,0.561
9.057,0.558
9.077,0.551
9.098,0.544
9.118,0.543
9.137,0.539
9.157,0.537
9.177,0.528
9.197,0.532
9.216,0.526
9.237,0.521
9.257,0.517
9.277,0.516
9.296,0.534
9.317,0.522
9.337,0.521
9.357,0.539
9.376,0.526
9.397,0.52
9.417,0.537
9.436,0.532
9.456,0.527
9.476,0.539
9.497,0.538
9.516,0.529
9.537,0.53
9.557,0.527
9.577,0.523
9.596,0.521
9.617,0.527
9.637,0.523
9.657,0.51
9.676,0.507
9.697,0.51
9.717,0.51
9.736,0.51
9.755,0.502
9.775,0.5
9.796,0.5
9.815,0.499
9.835,0.497
9.855,0.507
9.876,0.505
9.895,0.493
9.915,0.499
9.935,0.505
9.956,0.507
