t,y
0.021,-0.115
0.041,-0.062
0.061,-0.048
0.081,-0.072
0.102,-0.039
0.121,-0
0.142,-0.004
0.162,0.014
0.182,0.045
0.202,-0.002
0.221,0.043
0.241,0.099
0.261,-0.06
0.281,0.019
0.301,0.051
0.322,-0.018
0.341,0.072
0.362,0.201
0.382,0.088
0.402,-0.07
0.422,-0.077
0.442,-0.015
0.462,-0.104
0.483,0.029
0.502,0.066
0.523,-0.05
0.543,0.009
0.562,0.121
0.582,-0.035
0.602,0.207
0.622,1.293
0.642,-2.564
0.663,-8.402
0.681,-12.988
0.702,-18.59
0.722,-23.494
0.742,-26.395
0.762,-29.119
0.783,-29.729
0.802,-30.75
0.823,-29.617
0.843,-28.021
0.863,-25.7
0.882,-23.82
0.902,-20.394
0.922,-16.259
0.941,-12.269
0.962,-7.207
0.982,-2.25
1.002,2.148
1.022,7.37
1.043,11.569
1.062,16.609
1.083,20.86
1.103,24.944
1.123,28.855
1.143,32.444
1.164,35.123
1.183,37.504
1.204,39.349
1.224,40.208
1.243,40.944
1.264,41.164
1.284,40.806
1.304,40.253
1.324,38.661
1.345,36.776
1.364,34.395
1.385,31.275
1.405,27.368
1.425,25.406
1.444,23.186
1.465,19.723
1.485,16.131
1.505,11.839
1.525,8.88
1.546,4.969
1.565,2.388
1.585,-1.149
1.605,-3.293
1.624,-6.147
1.645,-8.391
1.665,-10.399
1.685,-12.193
1.705,-13.079
1.726,-14.067
1.745,-14.058
1.766,-14.589
1.786,-13.759
1.806,-12.97
1.826,-11.866
1.847,-10.628
1.866,-9.052
1.885,-6.858
1.905,-4.181
1.924,-3.25
1.944,-1.576
1.964,0.37
1.984,2.505
2.003,5.027
2.024,7.269
2.043,9.354
2.063,11.333
2.083,12.963
2.103,14.564
2.122,15.549
2.143,16.72
2.163,17.212
2.182,18.042
2.203,17.899
2.223,18.107
2.243,17.614
2.263,17.546
2.284,16.743
2.303,15.743
2.324,14.988
2.344,13.294
2.364,11.878
2.383,10.241
2.404,7.796
2.423,7.945
2.443,6.683
2.463,6.361
2.482,4.539
2.501,3.9
2.521,1.837
2.541,0.69
2.561,-0.829
2.582,-1.801
2.601,-2.813
2.622,-3.55
2.642,-4.214
2.662,-4.622
2.682,-4.507
2.703,-4.634
2.722,-4.311
2.743,-4.227
2.763,-3.9
2.783,-3.644
2.803,-3.055
2.823,-2.507
2.842,-1.775
2.862,-0.868
2.883,0.029
2.902,0.945
2.923,1.993
2.943,2.746
2.963,2.416
2.983,2.394
3.003,3.419
3.022,3.456
3.043,4.498
3.062,4.688
3.082,4.925
3.102,5.148
3.121,5.255
3.14,5.445
3.16,5.384
3.18,5.709
3.199,5.427
3.22,5.375
3.239,5.16
3.259,4.805
3.279,4.535
3.299,4.136
3.318,3.698
3.339,3.275
3.358,2.802
3.377,2.341
3.397,1.929
3.416,1.446
3.436,1.114
3.456,0.782
3.476,1.033
3.495,1.176
3.516,1.803
3.535,1.556
3.555,1.548
3.575,1.196
3.595,0.958
3.614,0.973
3.634,0.85
3.653,0.824
3.672,0.873
3.693,0.901
3.712,0.959
3.732,1.034
3.752,1.092
3.772,1.167
3.791,1.234
3.812,1.295
3.832,1.354
3.852,1.41
3.872,1.448
3.892,1.47
3.911,1.491
3.931,1.496
3.952,1.487
3.971,1.477
3.992,1.456
4.011,1.436
4.031,1.42
4.051,1.397
4.071,1.373
4.09,1.475
4.111,1.417
4.13,1.524
4.15,1.397
4.17,1.435
4.189,1.465
4.209,1.426
4.229,1.416
4.249,1.397
4.269,1.396
4.29,1.356
4.309,1.359
4.33,1.36
4.35,1.335
4.37,1.329
4.39,1.327
4.411,1.316
4.43,1.309
4.451,1.309
4.471,1.293
4.491,1.282
4.511,1.28
4.532,1.264
4.551,1.251
4.571,1.249
4.592,1.233
4.611,1.222
4.632,1.22
4.652,1.211
4.672,1.202
4.692,1.196
