t,y
0.021,0.53
0.041,0.546
0.061,0.557
0.081,0.568
0.102,0.576
0.121,0.587
0.142,0.604
0.161,0.608
0.182,0.617
0.202,0.619
0.221,0.623
0.241,0.631
0.261,0.643
0.281,0.656
0.301,0.66
0.322,0.671
0.341,0.68
0.362,0.691
0.382,0.695
0.402,0.698
0.422,0.705
0.442,0.708
0.462,0.664
0.483,0.928
0.502,0.887
0.523,0.751
0.543,0.879
0.562,0.897
0.582,0.809
0.602,0.889
0.622,0.912
0.642,0.843
0.662,0.872
0.682,0.925
0.703,0.873
0.722,0.873
0.743,0.92
0.763,0.897
0.783,0.886
0.803,0.923
0.824,0.927
0.843,0.907
0.864,0.926
0.883,0.936
0.903,0.921
0.923,0.934
0.942,0.948
0.963,0.946
0.983,0.951
1.003,0.966
1.023,0.955
1.044,0.958
1.063,0.968
1.084,0.973
1.104,0.966
1.124,0.976
1.144,0.978
1.164,0.988
1.183,0.979
1.204,0.953
1.223,0.999
1.243,0.997
1.264,0.954
1.283,1.008
1.304,1.018
1.324,0.968
1.344,0.992
1.364,1.019
1.385,0.997
1.404,1
1.425,1.03
1.444,1.021
1.465,1.008
1.485,1.036
1.505,1.028
1.525,0.997
1.546,1.011
1.565,1.033
1.585,1.018
1.605,1.028
1.624,1.035
1.645,1.031
1.665,1.028
1.685,1.044
1.705,1.031
1.726,1.022
1.745,1.04
1.766,1.046
1.785,1.045
1.805,1.055
1.825,1.051
1.845,1.052
1.865,1.064
1.885,1.074
1.904,1.075
1.924,1.08
1.945,1.083
1.964,1.084
1.985,1.083
2.005,1.077
2.025,1.084
2.045,1.091
2.066,1.09
2.085,1.081
2.106,1.077
2.125,1.081
2.145,1.081
2.165,1.09
2.184,1.098
2.204,1.081
2.224,1.083
2.244,1.091
2.264,1.097
2.285,1.086
2.304,1.089
2.325,1.097
2.345,1.097
2.365,1.103
2.385,1.108
2.406,1.104
2.425,1.097
2.446,1.107
2.466,1.115
2.486,1.109
2.506,1.113
2.525,1.111
2.544,1.101
2.564,1.085
2.584,1.106
2.603,1.096
2.624,1.073
2.643,1.08
2.664,1.098
2.684,1.077
2.704,1.072
2.724,1.091
2.745,1.08
2.764,1.076
2.785,1.09
2.805,1.089
2.824,1.075
2.844,1.081
2.864,1.092
2.884,1.082
2.904,1.082
2.924,1.091
2.943,1.087
2.964,1.089
2.983,1.096
3.004,1.096
3.024,1.096
3.044,1.205
3.064,0.735
3.085,1.087
3.104,1.173
3.125,0.934
3.145,1.074
3.164,1.126
3.184,0.953
3.203,1.033
3.223,1.092
3.243,0.989
3.263,1.025
3.283,1.099
3.304,1.034
3.323,1.021
3.344,1.075
3.364,1.033
3.384,1
3.404,1.043
3.425,1.041
3.444,1.007
3.464,1.025
3.483,1.025
3.502,1.001
3.523,1.016
3.542,1.036
3.562,1.022
3.582,1.031
3.602,1.045
3.621,1.032
3.642,1.031
3.661,1.043
3.682,1.039
3.702,1.042
3.722,1.051
3.742,1.047
3.762,1.042
3.781,-0.857
3.801,-6.276
3.822,-10.868
3.841,-15.612
3.862,-21.043
3.882,-25.577
3.902,-29.779
3.922,-32.837
3.943,-34.521
3.962,-35.372
3.983,-34.959
4.003,-33.486
4.023,-31.251
4.042,-28.069
4.063,-23.868
4.083,-19.347
4.102,-14.56
4.123,-9.444
4.143,-4.553
4.163,0.362
4.183,5.207
4.204,10.038
4.223,14.621
4.244,19.661
4.264,24.168
4.284,28.513
4.304,32.069
4.325,34.785
4.344,36.442
4.365,37.338
4.385,37.225
4.405,36.24
4.425,34.358
4.445,31.784
4.464,28.713
4.484,24.64
4.505,19.758
4.524,14.993
4.545,9.754
4.565,4.844
4.585,-0.1
4.605,-4.975
4.626,-9.857
4.645,-14.424
4.666,-19.167
4.686,-23.005
4.706,-26.138
4.726,-28.509
4.747,-30.18
4.766,-30.861
4.786,-30.732
4.806,-29.862
4.825,-28.241
4.845,-25.846
4.865,-22.816
4.886,-19.216
4.905,-15.31
4.926,-10.686
4.946,-5.966
4.966,-1.158
4.986,3.673
5.007,8.359
5.026,12.557
5.047,16.877
5.067,20.328
5.087,23.412
5.107,25.926
5.127,27.659
5.146,28.75
5.166,29.2
5.187,28.942
5.206,28.044
5.227,26.429
5.247,24.312
5.267,21.656
5.287,18.566
5.308,14.931
5.327,11.372
5.348,7.186
5.368,3.159
5.388,-0.819
5.408,-4.695
5.429,-8.569
5.448,-11.778
5.468,-14.749
5.488,-17.283
5.507,-19.2
5.528,-20.716
5.548,-21.566
5.568,-21.798
5.587,-21.499
5.608,-20.559
5.628,-19.192
5.648,-17.27
5.668,-14.938
5.689,-12.258
5.708,-9.414
5.729,-6.055
5.749,-2.951
5.768,0.359
5.788,3.46
5.808,6.449
5.828,9.419
5.848,12.075
5.868,14.405
5.887,16.149
5.908,17.723
5.928,18.672
5.948,19.181
5.968,19.178
5.989,18.695
6.008,17.828
6.029,16.456
6.049,14.781
6.069,12.781
6.089,10.556
6.109,7.986
6.128,5.751
6.148,3.108
6.169,0.321
6.188,-2.142
6.209,-4.691
6.229,-6.946
6.249,-8.963
6.269,-10.658
6.29,-12.07
6.309,-12.962
6.33,-13.569
6.35,-13.739
6.37,-13.52
6.39,-12.928
6.411,-11.942
6.43,-10.763
6.449,-9.367
6.469,-7.69
6.488,-5.915
6.508,-4.037
6.528,-1.987
6.548,0.077
6.568,2.118
6.589,4.172
6.608,5.885
6.629,7.598
6.649,9.005
6.669,10.157
6.689,11.008
6.71,11.589
6.729,11.796
6.749,11.707
6.769,11.358
6.788,10.766
6.809,9.881
6.829,8.819
6.849,7.598
6.869,6.245
6.89,4.788
6.909,3.328
6.93,1.711
6.95,0.289
6.97,-1.154
6.99,-2.496
7.01,-3.697
7.029,-4.614
7.05,-5.498
7.069,-6.087
7.088,-6.465
7.109,-6.637
7.128,-6.577
7.149,-6.305
7.169,-5.871
7.189,-5.284
7.209,-4.557
7.23,-3.672
7.249,-2.789
7.27,-1.75
7.29,-0.732
7.31,0.299
7.33,1.307
7.351,2.256
7.37,3.104
7.391,3.941
7.41,4.578
7.429,5.097
7.45,5.526
7.469,5.75
7.49,5.85
7.51,5.793
7.53,5.607
7.55,5.319
7.571,4.928
7.59,4.481
7.611,3.927
7.63,3.378
7.65,2.799
7.67,2.18
7.69,1.558
7.709,0.991
7.729,0.444
7.748,-0.026
7.768,-0.442
7.789,-0.804
7.808,-1.057
