t,y
7.907,1
7.927,1.003
7.947,1.009
7.966,1.013
7.986,1.013
8.006,1.015
8.025,1.012
8.046,1.018
8.066,1.015
8.086,1.017
8.105,1.014
8.126,1.017
8.146,1.018
8.166,1.024
8.186,1.024
8.207,1.018
8.226,1.016
8.246,1.013
8.266,1.015
8.287,1.018
8.306,1.02
8.325,1.022
8.346,1.02
8.366,1.014
8.386,1.012
8.406,1.013
8.427,1.013
8.446,1.014
8.466,1.022
8.486,1.019
8.507,1.025
8.526,1.023
8.547,1.027
8.567,1.029
8.587,1.021
8.606,1.022
8.626,1.024
8.646,1.025
8.665,1.023
8.686,1.023
8.706,1.026
8.726,1.028
8.745,1.028
8.766,1.039
8.786,1.041
8.806,1.046
8.826,1.053
8.847,1.052
8.867,1.046
8.887,1.046
8.907,1.048
8.928,1.05
8.947,1.049
8.967,1.046
8.987,1.042
9.007,1.042
9.027,1.04
9.047,1.044
9.068,1.042
9.087,1.04
9.108,1.044
9.128,1.044
9.148,1.044
9.167,1.037
9.188,1.035
9.208,1.031
9.228,1.038
9.248,1.033
9.269,1.035
9.288,1.035
9.307,1.03
9.328,1.021
9.348,1.024
9.368,1.023
9.387,1.016
9.408,1.013
9.428,1.012
9.448,1.012
9.468,1.013
9.489,1.011
9.508,1.001
9.528,1.005
9.548,1.003
9.569,1.003
9.588,1.012
9.608,1.014
9.628,1.014
9.647,1.01
9.667,1.015
9.687,1.015
9.708,1.013
9.727,1.016
9.748,1.015
9.768,1.009
9.788,1.005
9.807,1.002
9.828,1.003
9.848,1.003
9.868,1.01
9.888,1.014
9.909,1.012
9.928,1.011
9.947,1.009
9.968,1.008
