t,y
7.924,0.622
7.943,0.62
7.962,0.614
7.982,0.609
8.003,0.613
8.022,0.603
8.043,0.598
8.063,0.597
8.083,0.596
8.102,0.602
8.123,0.594
8.143,0.586
8.163,0.588
8.183,0.591
8.204,0.58
8.223,0.587
8.242,0.584
8.262,0.577
8.282,0.574
8.302,0.579
8.322,0.581
8.343,0.578
8.362,0.584
8.382,0.58
8.402,0.578
8.423,0.581
8.442,0.583
8.463,0.578
8.483,0.58
8.503,0.579
8.523,0.581
8.544,0.586
8.563,0.575
8.582,0.566
8.603,0.56
8.623,0.556
8.643,0.549
8.663,0.544
8.684,0.541
8.703,0.54
8.723,0.547
8.743,0.544
8.764,0.547
8.783,0.554
8.804,0.554
8.824,0.551
8.844,0.544
8.864,0.535
8.885,0.519
8.904,0.507
8.923,0.504
8.944,0.511
8.964,0.513
8.984,0.506
9.004,0.496
9.025,0.493
9.044,0.481
9.065,0.488
9.085,0.495
9.105,0.487
9.125,0.482
9.146,0.486
9.165,0.491
9.185,0.487
9.205,0.491
9.226,0.497
9.245,0.495
9.265,0.503
9.285,0.497
9.304,0.491
9.324,0.493
9.344,0.494
9.365,0.494
9.384,0.481
9.405,0.472
9.425,0.473
9.445,0.478
9.465,0.475
9.486,0.47
9.505,0.472
9.525,0.473
9.545,0.473
9.565,0.476
9.584,0.474
9.604,0.472
9.625,0.475
9.644,0.463
9.664,0.455
9.684,0.448
9.705,0.447
9.724,0.45
9.745,0.447
9.765,0.442
9.785,0.456
9.804,0.463
9.825,0.464
9.845,0.466
9.864,0.47
9.884,0.472
9.904,0.474
9.924,0.468
9.944,0.465
9.965,0.466
