t,y
0.021,-0.001
0.041,0.012
0.061,0.024
0.08,-0.185
0.101,0.454
0.121,0.419
0.141,0.211
0.161,0.071
0.182,0.447
0.201,0.049
0.221,0.106
0.241,0.171
0.26,-0.007
0.28,0.105
0.3,0.207
0.321,0.133
0.34,0.131
0.361,0.189
0.381,0.173
0.401,0.148
0.421,0.186
0.442,0.18
0.461,0.176
0.481,0.208
0.501,0.217
0.522,0.205
0.541,0.217
0.561,0.229
0.581,0.218
0.6,0.221
0.62,0.232
0.64,0.235
0.661,0.244
0.68,0.253
0.701,0.257
0.721,0.263
0.741,0.276
0.761,0.283
0.782,0.279
0.801,0.284
0.821,0.298
0.841,0.296
0.861,0.304
0.88,0.311
0.9,0.315
0.921,0.315
0.94,0.319
0.96,0.32
0.98,6.116
1.001,1.615
1.02,-3.975
1.041,-7.927
1.061,-12.396
1.081,-17.734
1.1,-21.291
1.121,-25.851
1.141,-27.263
1.16,-29.164
1.179,-23.047
1.199,-22.079
1.22,-18.192
1.24,-14.512
1.26,-9.913
1.28,-4.488
1.301,-2.226
1.32,1.934
1.34,6.43
1.36,10.442
1.381,11.592
1.4,15.501
1.421,16.535
1.441,18.499
1.461,20.362
1.48,21.67
1.5,23.716
1.52,25.189
1.539,27.034
1.559,28.41
1.579,30.006
1.6,30.666
1.619,31.56
1.639,31.214
1.659,31.095
1.68,29.731
1.699,28.426
1.719,26.775
1.739,24.781
1.76,22.385
1.779,20.346
1.798,18.164
1.819,16.19
1.839,13.695
1.859,11.372
1.878,10.584
1.899,9.77
1.919,8.898
1.939,8.228
1.959,6.758
1.98,6.3
1.999,5.124
2.019,4.119
2.039,3.024
2.06,1.866
2.079,1.085
2.1,-0.161
2.12,-0.369
2.139,-0.973
2.158,-0.807
2.178,-0.638
2.199,-0.323
2.218,0.202
2.239,0.75
2.259,1.242
2.279,2.159
2.299,2.575
2.32,3.756
2.339,3.776
2.359,4.618
2.379,4.939
2.4,5.556
2.419,6.198
2.439,6.787
2.459,6.358
2.478,6.096
2.498,5.729
2.518,5.487
2.539,5.152
2.558,5.211
2.579,5.291
2.599,5.817
2.619,5.816
2.638,6.153
2.659,6.297
2.679,6.205
2.699,6.237
2.719,6.13
2.74,5.866
2.759,5.701
2.778,5.475
2.799,5.148
2.819,4.882
2.839,4.598
2.859,4.257
2.88,3.964
2.899,3.706
2.919,3.426
2.939,3.189
2.96,2.993
2.979,2.81
2.999,2.658
3.019,2.551
3.039,2.488
3.058,2.337
3.078,2.751
3.099,3.01
3.118,3.353
3.139,3.447
3.159,3.493
3.179,3.467
3.198,3.1
3.219,3.068
3.239,2.807
3.259,2.583
3.279,2.548
3.3,2.41
3.319,2.256
3.339,2.26
3.359,2.211
3.38,2.171
3.399,2.146
3.419,2.193
3.44,2.292
3.459,2.188
3.479,2.251
3.499,2.138
3.52,2.097
3.539,2.14
3.56,2.086
3.58,2.037
3.6,2.053
3.62,2.015
3.641,1.952
3.66,1.944
3.68,1.917
3.7,1.868
3.72,1.869
3.739,1.85
3.758,1.802
3.779,1.786
3.799,1.766
3.819,1.733
3.839,1.712
3.86,1.7
3.879,1.667
3.9,1.643
3.92,1.623
