t,y
7.835,1.142
7.855,1.131
7.875,1.133
7.895,1.123
7.916,1.131
7.935,1.138
7.956,1.134
7.976,1.146
7.996,1.162
8.016,1.154
8.037,1.154
8.056,1.169
8.077,1.169
8.097,1.169
8.117,1.164
8.137,1.16
8.157,1.164
8.176,1.168
8.196,1.162
8.217,1.154
8.236,1.156
8.257,1.167
8.277,1.164
8.297,1.157
8.317,1.159
8.338,1.164
8.357,1.16
8.378,1.155
8.398,1.155
8.418,1.163
8.438,1.165
8.459,1.164
8.478,1.163
8.498,1.155
8.518,1.145
8.537,1.144
8.558,1.147
8.578,1.149
8.598,1.149
8.618,1.156
8.638,1.152
8.657,1.149
8.678,1.149
8.697,1.146
8.717,1.149
8.737,1.146
8.757,1.153
8.776,1.147
8.796,1.149
8.815,1.146
8.834,1.151
8.855,1.155
8.875,1.15
8.895,1.154
8.915,1.155
8.936,1.153
8.955,1.162
8.976,1.164
8.996,1.171
9.016,1.174
9.036,1.17
9.057,1.167
9.076,1.165
9.096,1.164
9.116,1.164
9.135,1.176
9.156,1.175
9.176,1.159
9.196,1.168
9.216,1.162
9.237,1.16
9.256,1.134
9.277,1.108
9.297,1.157
9.317,1.13
9.337,1.136
9.358,1.139
9.377,1.107
9.398,1.111
9.418,1.112
9.437,1.106
9.457,1.12
9.477,1.119
9.497,1.116
9.517,1.119
9.538,1.111
9.557,1.112
9.578,1.108
9.598,1.104
9.617,1.109
9.637,1.112
9.657,1.112
9.676,1.105
9.697,1.11
9.717,1.108
9.736,1.109
9.756,1.106
9.775,1.107
9.795,1.105
9.815,1.104
9.836,1.105
9.854,1.2
9.875,0.748
9.894,0.851
9.914,0.734
9.934,0.899
9.954,0.859
