t,y
0.021,-0.327
0.041,-0.295
0.061,-0.021
0.081,-0.122
0.102,-0.098
0.121,0.017
0.141,0.068
0.161,-0.167
0.181,-0.1
0.2,-0.13
0.22,-0.214
0.24,-0.12
0.259,-0.071
0.28,-0.096
0.3,-0.05
0.32,0.015
0.34,-0.006
0.361,-0.004
0.38,0.044
0.401,0.051
0.421,0.03
0.441,0.071
0.461,0.112
0.482,0.097
0.501,0.103
0.522,0.14
0.542,0.14
0.561,0.134
0.581,0.166
0.601,0.179
0.621,0.172
0.641,0.191
0.662,0.212
0.681,0.211
0.702,0.23
0.722,0.248
0.742,0.256
0.761,0.267
0.782,0.282
0.801,0.294
0.821,0.294
0.841,0.302
0.86,0.319
0.879,0.328
0.899,0.339
0.92,0.346
0.939,0.352
0.96,0.366
0.98,0.383
1,0.393
1.02,0.405
1.041,0.408
1.06,0.416
1.081,0.421
1.101,0.434
1.121,0.444
1.141,0.453
1.162,0.458
1.181,0.463
1.201,0.471
1.221,0.48
1.24,0.484
1.261,0.496
1.281,0.499
1.301,0.504
1.32,0.506
1.341,0.512
1.36,0.511
1.38,0.522
1.4,0.522
1.421,0.527
1.44,0.537
1.461,0.54
1.481,0.538
1.5,0.543
1.52,0.55
1.54,0.557
1.56,0.561
1.58,0.563
1.601,0.572
1.62,0.572
1.641,0.58
1.661,0.584
1.681,0.595
1.701,0.598
1.722,0.604
1.741,0.608
1.761,0.612
1.781,0.618
1.8,0.63
1.819,-2.393
1.839,-5.943
1.86,-11.646
1.879,-17.305
1.9,-20.331
1.92,-22.862
1.94,-23.951
1.959,-24.909
1.98,-24.952
2,-24.324
2.02,-23.657
2.039,-21.942
2.06,-20.107
2.08,-18.911
2.1,-16.907
2.12,-14.223
2.14,-11.853
2.16,-9.576
2.179,-6.976
2.2,-3.668
2.22,-0.606
2.24,2.797
2.26,5.817
2.281,8.327
2.3,10.691
2.321,12.861
2.341,14.775
2.361,16.53
2.38,17.814
2.401,18.985
2.421,19.836
2.44,20.14
2.46,20.366
2.48,19.672
2.501,19.422
2.52,18.702
2.541,17.913
2.561,16.808
2.581,15.407
2.6,13.965
2.621,11.985
2.641,9.959
2.661,7.447
2.681,7.08
2.702,5.607
2.721,4.839
2.742,2.643
2.762,1.565
2.781,-0.493
2.801,-1.647
2.821,-3.278
2.841,-4.17
2.86,-5.473
2.881,-5.956
2.901,-6.252
2.921,-6.617
2.941,-6.512
2.962,-6.561
2.981,-5.916
3.002,-6.155
3.022,-5.461
3.042,-4.964
3.061,-4.414
3.082,-3.364
3.102,-2.404
3.121,-1.49
3.141,-0.25
3.161,1.009
3.181,2.564
3.201,2.014
3.222,2.25
3.241,2.729
3.262,3.464
3.282,4.33
3.302,4.77
3.322,5.616
3.343,5.575
3.362,6.235
3.382,6.191
3.402,6.319
3.423,6.116
3.442,5.829
3.462,5.668
3.483,5.212
3.502,4.815
3.523,4.626
3.543,4.193
3.563,3.62
3.583,3.171
3.604,2.643
3.623,2.115
3.643,1.63
3.663,1.109
3.684,0.472
3.703,1.072
3.724,1.087
3.744,1.361
3.764,0.869
3.784,0.459
3.804,0.185
3.823,-0.206
3.843,-0.427
3.864,-0.297
3.883,-0.482
3.904,-0.467
3.924,-0.201
3.944,-0.339
3.964,-0.18
3.985,-0.05
4.004,-0.032
4.025,0.136
4.045,0.319
4.065,0.403
4.084,0.55
4.104,0.735
4.124,0.808
4.143,0.905
4.164,1.033
4.184,1.091
4.204,1.12
4.224,1.171
4.245,1.179
4.264,1.156
4.285,1.142
4.305,1.125
4.325,1.085
4.345,1.062
4.366,1.068
4.385,1.058
4.405,1.051
4.425,1.054
4.445,1.049
4.464,1.034
4.484,1.025
4.505,1.016
4.524,1.012
4.545,1.015
4.565,1.016
4.585,1.013
4.605,1.002
4.626,0.995
4.645,0.988
4.666,0.981
4.686,0.976
4.706,0.966
4.725,0.962
4.746,0.968
4.766,0.972
4.785,0.965
4.805,0.958
4.825,0.958
4.845,0.949
4.865,0.949
4.886,0.945
4.905,0.94
4.926,0.934
4.946,0.927
4.966,0.919
4.986,0.907
5.007,0.899
5.026,0.893
5.047,0.886
5.067,0.881
5.087,0.872
5.106,0.869
5.126,0.871
5.146,0.867
5.165,0.859
5.186,0.856
5.206,0.855
5.226,0.846
5.246,0.835
5.267,0.834
5.286,0.82
5.307,0.819
5.327,0.818
5.347,0.813
5.367,0.807
5.388,0.809
5.407,0.809
5.428,0.806
5.448,0.797
5.467,0.793
5.488,0.789
5.508,0.791
5.528,0.791
5.548,0.794
5.569,0.795
5.588,0.796
5.609,0.803
5.629,0.803
5.649,0.799
5.669,0.796
5.69,0.797
5.709,0.795
5.729,0.795
5.749,0.794
5.77,0.796
5.789,0.788
5.809,0.773
5.829,0.788
5.848,0.77
5.869,0.948
5.889,0.348
5.909,0.211
5.929,0.327
5.95,0.251
5.969,0.443
5.99,0.555
6.01,0.506
6.03,0.58
6.05,0.641
6.071,0.584
6.09,0.576
6.111,0.599
6.131,0.566
6.15,0.541
6.171,0.571
6.191,0.564
6.211,0.556
6.23,0.581
6.251,0.583
6.271,0.561
6.291,0.57
6.311,0.572
6.332,0.593
6.351,0.503
6.372,0.514
6.392,0.562
6.412,0.558
6.432,0.666
6.453,0.153
6.472,0.152
6.492,0.331
6.512,0.293
6.531,0.276
6.552,0.352
6.572,0.333
6.592,0.275
6.611,0.311
6.632,0.31
6.651,0.275
6.671,0.311
6.691,0.329
6.712,0.306
6.731,0.317
6.752,0.32
6.772,0.307
6.791,0.313
6.811,0.331
6.831,0.323
6.851,0.316
6.871,0.329
6.892,0.333
6.911,0.325
6.932,0.326
6.952,0.331
6.972,0.323
6.991,0.326
7.012,0.328
7.032,0.323
7.052,0.333
7.072,0.346
7.093,0.339
7.112,0.338
7.132,0.346
7.152,0.341
7.171,0.334
7.192,0.339
7.212,0.348
7.232,0.354
7.252,0.377
7.273,0.35
7.292,0.352
7.313,0.374
7.333,0.364
7.353,0.361
7.372,0.374
7.393,0.369
7.413,0.364
7.432,0.372
7.452,0.368
7.472,0.363
7.492,0.373
7.512,0.375
7.533,0.368
7.552,0.364
7.573,0.363
7.593,0.363
7.613,0.371
7.632,0.372
7.653,0.372
7.673,0.368
7.693,0.371
7.713,0.374
7.734,0.373
7.753,0.365
7.773,0.366
7.793,0.374
7.812,0.381
7.833,0.374
7.853,0.367
7.873,0.376
7.892,0.378
7.913,0.37
7.933,0.367
7.953,0.373
7.973,0.369
7.994,0.376
8.013,0.375
8.034,0.377
8.054,0.371
8.074,0.374
8.093,0.374
8.113,0.37
8.133,0.366
8.152,0.37
8.173,0.368
8.193,0.369
8.213,0.373
8.233,0.373
8.254,0.376
8.273,0.378
8.294,0.381
8.314,0.381
8.334,0.382
8.354,0.387
8.375,0.38
8.394,0.382
8.415,0.383
8.435,0.385
8.454,0.384
8.473,0.386
8.493,0.39
8.514,0.382
8.533,0.383
8.554,0.381
8.574,0.38
8.594,0.39
8.614,0.394
8.635,0.395
8.654,0.396
8.675,0.392
8.695,0.387
8.715,0.384
8.734,0.383
8.754,0.379
8.774,0.426
8.793,0.285
8.814,0.335
8.834,0.408
8.854,0.34
8.874,0.339
8.895,0.385
8.914,0.339
8.934,0.334
8.954,0.379
8.975,0.373
8.994,0.36
9.015,0.387
9.035,0.383
9.055,0.362
9.075,0.371
9.095,0.381
9.114,0.372
9.133,0.395
9.154,0.336
9.174,0.208
9.194,0.357
9.214,0.336
9.235,0.243
9.254,0.309
9.275,0.304
9.295,0.255
9.315,0.307
9.335,0.337
9.356,0.302
9.375,0.322
9.396,0.336
