t,y
0.021,-0.31
0.041,-0.304
0.061,-0.293
0.08,-0.228
0.101,-0.235
0.121,-0.283
0.141,-0.039
0.161,0.538
0.182,1.181
0.201,1.278
0.22,1.353
0.24,1.211
0.26,0.98
0.28,0.703
0.3,0.502
0.321,0.363
0.34,0.191
0.361,0.066
0.381,0.039
0.401,0.014
0.42,0.001
0.441,0.046
0.461,0.07
0.481,-0.045
0.501,0.038
0.522,0.148
0.541,0.132
0.561,0.146
0.581,0.133
0.6,0.199
0.62,0.17
0.64,0.172
0.661,0.194
0.68,0.179
0.701,0.172
0.721,0.2
0.741,0.21
0.761,-1.3
0.782,-7.619
0.801,-11.392
0.821,-15.524
0.841,-21.109
0.861,-25.448
0.88,-28.409
0.899,-30.124
0.92,-31.293
0.94,-28.187
0.96,-26.353
0.979,-22.885
1,-19.619
1.02,-14.624
1.04,-10.01
1.059,-7.843
1.08,-5.139
1.1,-1.431
1.12,1.449
1.14,1.218
1.16,2.954
1.179,4.889
1.198,4.355
1.219,6.188
1.239,10.038
1.259,9.801
1.279,11.627
1.3,15.854
1.32,17.919
1.34,18.854
1.36,20.517
1.381,22.892
1.4,20.709
1.42,19.905
1.44,19.298
1.461,17.314
1.48,14.86
1.499,12.99
1.52,12.459
1.54,11.238
1.56,9.228
1.579,7.726
1.6,7.906
1.62,6.982
1.64,6.983
1.66,6.159
1.681,5.682
1.7,4.81
1.721,3.568
1.741,2.397
1.761,0.999
1.78,-0.283
1.8,-1.736
1.82,-2.803
1.839,-3.504
1.86,-4.164
1.88,-3.66
1.9,-3.828
1.919,-3.118
1.94,-2.567
1.96,-1.717
1.98,-1.126
1.999,-0.822
2.02,-0.474
2.04,-0.015
2.06,0.086
2.08,0.416
2.101,0.784
2.12,1.114
2.14,1.648
2.16,1.072
2.179,1.295
2.199,0.822
2.219,1.249
2.24,1.285
2.259,1.626
2.28,2.072
2.3,2.678
2.32,2.975
2.339,3.262
2.36,3.62
2.38,3.686
2.4,3.866
2.42,3.461
2.44,3.194
2.459,2.655
2.478,2.225
2.499,1.971
2.519,1.413
2.539,1.529
2.559,1.28
2.58,1.331
2.599,1.33
2.619,1.206
2.639,1.284
2.66,1.234
2.679,1.182
2.7,1.655
2.72,2.203
2.74,2.397
2.76,2.434
2.78,2.377
2.8,1.972
2.819,1.999
2.84,1.709
2.86,1.469
2.88,1.425
2.9,1.231
2.921,1.126
2.94,1.116
2.96,1.044
2.98,1.035
3.001,1.075
3.02,1.081
3.041,1.082
3.061,1.112
3.08,1.117
3.099,1.106
3.119,1.123
3.14,1.122
3.159,1.106
3.179,1.111
3.199,1.104
3.22,1.089
3.239,1.08
3.26,1.077
3.28,1.058
3.3,1.047
3.319,1.044
3.34,1.038
3.36,1.032
3.38,1.028
3.4,1.022
3.42,1.008
3.439,1.001
3.458,0.995
3.479,0.992
3.499,0.982
3.519,0.98
3.539,0.97
3.56,0.968
3.579,0.955
3.599,0.946
3.619,0.937
3.64,0.93
3.659,0.93
3.68,0.924
3.7,0.915
3.719,0.913
3.739,0.91
3.759,0.912
3.779,0.904
3.798,0.891
3.819,0.887
3.839,0.885
3.859,0.878
3.879,0.876
3.9,0.87
3.919,0.862
3.939,0.853
3.959,0.85
3.98,0.847
3.999,0.841
4.02,0.832
4.04,0.825
4.059,0.825
4.078,0.822
4.098,0.821
4.119,0.809
4.138,0.804
4.159,0.804
4.179,0.806
4.199,0.802
4.218,0.794
4.239,0.784
4.259,0.78
4.279,0.781
4.299,0.777
4.32,0.772
4.339,0.766
4.358,0.761
4.379,0.758
4.399,0.754
4.419,0.746
4.439,0.747
4.46,0.74
4.479,0.734
4.499,0.729
4.519,0.723
4.54,0.72
4.559,0.72
4.58,0.718
4.6,0.709
4.62,0.706
4.64,0.696
4.661,0.694
4.68,0.686
4.699,0.681
4.72,0.682
4.74,0.672
4.76,0.671
4.78,0.665
4.801,0.663
4.82,0.655
4.841,0.653
4.861,0.648
4.881,0.647
4.9,0.648
4.921,0.643
4.941,0.638
4.961,0.634
4.981,0.627
5.002,0.618
5.021,0.61
5.04,0.605
5.061,0.602
5.081,0.598
5.101,0.591
5.121,0.592
5.142,0.59
5.161,0.583
5.182,0.583
5.202,0.572
5.222,0.573
5.241,0.572
5.262,0.573
5.282,0.574
5.302,0.577
5.322,0.577
5.343,0.578
5.362,0.573
5.381,0.573
5.402,0.572
5.422,0.58
5.442,0.577
5.462,0.577
5.483,0.571
5.502,0.575
5.522,0.577
5.542,0.58
5.563,0.579
5.582,0.579
5.603,0.575
5.623,0.576
5.643,0.575
5.662,0.579
5.682,0.581
5.702,0.578
5.721,0.57
5.742,0.57
5.762,0.572
5.782,0.58
5.801,0.586
5.822,0.584
5.842,0.582
5.862,0.582
5.882,0.588
5.903,0.589
5.922,0.582
5.943,0.582
5.963,0.581
5.984,0.58
6.003,0.578
6.023,0.579
6.043,0.581
6.062,0.579
6.083,0.576
6.103,0.576
6.124,0.569
6.143,0.568
6.164,0.57
6.184,0.567
6.204,0.562
6.224,0.558
6.245,0.555
6.264,0.556
6.284,0.558
6.304,0.552
6.325,0.546
6.344,0.544
6.364,0.548
6.384,0.554
6.403,0.563
6.423,0.555
6.443,0.549
6.464,0.549
6.483,0.558
6.504,0.554
6.524,0.552
6.544,0.546
6.563,0.54
6.584,0.542
6.604,0.539
6.624,0.542
6.644,0.541
6.664,0.544
6.683,0.541
6.702,0.541
6.723,0.535
6.743,0.531
6.763,0.524
6.783,0.526
6.804,0.527
6.823,0.529
6.843,0.531
6.863,0.532
6.884,0.536
6.903,0.544
6.924,0.55
6.944,0.556
6.965,0.559
6.984,0.558
7.004,0.554
7.024,0.556
7.043,0.557
7.064,0.556
7.084,0.555
7.104,0.554
7.124,0.556
7.145,0.562
7.164,0.561
7.184,0.565
7.204,0.57
7.225,0.57
7.244,0.567
7.265,0.569
7.285,0.561
7.304,0.556
7.323,0.556
7.343,0.555
7.364,0.557
7.383,0.549
7.404,0.549
7.424,0.555
7.444,0.558
7.464,0.557
7.485,0.555
7.504,0.55
7.524,0.551
7.544,0.547
7.565,0.549
7.584,0.54
7.605,0.548
7.625,0.554
7.644,0.555
7.663,0.55
7.683,0.552
7.704,0.557
7.723,0.555
7.744,0.557
7.764,0.55
7.784,0.548
7.803,0.551
7.824,0.548
7.844,0.545
7.864,0.543
7.884,0.549
7.905,0.553
7.924,0.552
7.943,0.551
7.963,0.547
7.983,0.543
8.003,0.545
8.022,0.545
8.043,0.546
8.062,0.536
8.082,0.535
8.102,0.543
8.123,0.547
8.142,0.543
8.163,0.55
8.183,0.554
8.203,0.551
8.222,0.547
8.242,0.55
8.261,0.553
8.28,0.556
8.301,0.55
8.321,0.547
8.341,0.549
8.361,0.551
8.382,0.549
8.401,0.548
8.421,0.541
8.441,0.541
8.462,0.541
8.481,0.536
8.502,0.532
8.522,0.531
8.541,0.531
8.56,0.531
8.58,0.531
8.601,0.532
8.62,0.536
8.641,0.542
8.661,0.544
8.681,0.547
8.7,0.548
8.721,0.556
8.741,0.55
8.761,0.546
8.781,0.546
8.802,0.539
8.821,0.54
8.84,0.537
8.86,0.538
8.88,0.542
8.9,0.55
8.92,0.548
8.941,0.551
8.96,0.55
8.981,0.547
9.001,0.537
9.021,0.539
9.04,0.541
9.061,0.545
9.081,0.542
9.101,0.545
9.121,0.544
9.142,0.55
9.161,0.554
9.181,0.554
9.201,0.55
9.22,0.547
9.24,0.549
9.26,0.556
9.281,0.556
9.3,0.548
9.321,0.552
9.341,0.549
9.361,0.547
9.38,0.551
9.401,0.553
9.421,0.56
9.441,0.562
9.461,0.559
9.482,0.56
9.501,0.557
9.52,0.561
9.541,0.565
9.561,0.564
9.581,0.566
9.601,0.563
9.622,0.566
9.641,0.568
9.662,0.567
9.682,0.568
9.702,0.571
9.722,0.573
9.743,0.58
9.762,0.579
9.782,0.577
9.802,0.585
9.823,0.585
9.842,0.585
9.862,0.588
9.883,0.59
9.902,0.589
9.922,0.591
9.942,0.589
9.963,0.588
