t,y
0.021,0.188
0.041,0.251
0.061,0.74
0.08,0.448
0.101,0.617
0.121,0.48
0.141,0.438
0.161,0.474
0.182,0.463
0.201,0.465
0.221,0.514
0.241,0.527
0.26,0.526
0.28,0.541
0.3,0.541
0.321,0.522
0.34,0.539
0.361,0.555
0.381,0.553
0.401,0.563
0.42,0.58
0.441,0.582
0.461,0.568
0.481,0.573
0.501,0.582
0.522,0.588
0.541,0.602
0.56,0.617
0.581,0.626
0.601,0.629
0.621,0.622
0.641,0.63
0.662,0.628
0.681,0.637
0.702,0.649
0.722,0.651
0.742,0.656
0.761,0.664
0.782,-5.541
0.802,-8.501
0.822,-12.748
0.842,-18.039
0.863,-21.678
0.883,-23.593
0.902,-24.431
0.923,-25.231
0.943,-21.369
0.964,-19.8
0.983,-16.268
1.004,-13.144
1.024,-9.602
1.045,-6.037
1.064,-6.406
1.085,-5.44
1.105,-5.373
1.125,-5.915
1.144,-4.812
1.165,-5.325
1.185,-4.156
1.205,-3.334
1.225,-1.709
1.245,1.276
1.264,3.154
1.283,5.162
1.304,7.47
1.324,9.382
1.344,9.406
1.364,10.424
1.385,9.779
1.404,9.398
1.424,8.239
1.444,7.597
1.465,6.298
1.484,5.913
1.505,4.721
1.525,4.682
1.544,4.017
1.563,4.081
1.583,3.464
1.604,2.936
1.623,3.808
1.644,3.59
1.664,3.578
1.684,2.628
1.703,2.001
1.724,0.63
1.744,-0.098
1.764,-1.076
1.784,-2.026
1.805,-2.763
1.824,-3.615
1.845,-3.111
1.865,-3.414
1.885,-2.688
1.904,-2.809
1.924,-1.397
1.945,-1.167
1.964,-1.341
1.984,-0.522
2.004,-0.925
2.025,-0.777
2.044,-0.557
2.065,-0.617
2.085,-0.199
2.105,-1.055
2.124,-0.719
2.145,-1.139
2.165,-0.823
2.184,-0.786
2.204,-0.345
2.224,-0.219
2.244,0.48
2.263,0.716
2.284,1.005
2.304,1.419
2.324,1.623
2.344,1.775
2.365,1.84
2.384,2.136
2.404,1.983
2.424,2.001
2.445,1.953
2.464,1.669
2.485,1.067
2.505,1.365
2.524,0.496
2.544,0.765
2.564,0.472
2.585,0.64
2.604,0.598
2.625,0.546
2.645,0.59
2.665,0.613
2.685,0.577
2.706,0.574
2.725,0.579
2.745,0.554
2.765,0.548
2.786,0.566
2.805,0.562
2.826,0.566
2.846,0.568
2.865,0.556
2.884,0.545
2.904,0.54
2.925,0.53
2.944,0.521
2.965,0.526
2.985,0.53
3.005,0.523
3.025,0.516
3.046,0.516
3.065,0.511
3.085,0.506
3.105,0.503
3.126,0.502
3.145,0.495
3.165,0.496
3.185,0.488
3.204,0.489
3.224,0.49
3.244,0.491
3.265,0.493
3.284,0.492
3.305,0.488
3.325,0.48
3.345,0.483
3.364,0.485
3.385,0.484
3.405,0.489
3.425,0.484
3.445,0.486
3.466,0.483
3.485,0.483
3.505,0.479
3.525,0.47
3.545,0.475
3.565,0.476
3.585,0.47
3.606,0.472
3.625,0.473
3.646,0.471
3.666,0.469
3.686,0.472
3.705,0.47
3.726,0.46
3.746,0.463
3.766,0.463
3.786,0.462
3.807,0.455
3.826,0.455
3.845,0.451
3.866,0.454
3.886,0.454
3.906,0.454
3.926,0.455
3.947,0.443
3.966,0.437
3.986,0.435
4.006,0.423
4.027,0.428
4.046,0.429
4.067,0.426
4.087,0.424
4.107,0.434
4.127,0.441
4.148,0.429
4.167,0.429
4.187,0.44
4.208,0.432
4.227,0.417
4.247,0.387
4.267,0.395
4.288,0.414
4.307,0.381
4.328,0.382
4.348,0.402
4.368,0.384
4.387,0.377
4.408,0.403
4.428,0.385
4.448,0.374
4.468,0.401
4.488,0.409
4.507,0.386
4.526,0.408
4.547,0.415
4.567,0.401
4.587,0.409
4.607,0.421
4.628,0.413
4.647,0.404
4.668,0.411
4.688,0.407
4.708,0.403
4.727,0.412
4.748,0.418
4.768,0.409
4.788,0.408
4.808,0.408
4.828,0.408
4.847,0.406
4.866,0.414
4.887,0.409
4.907,0.408
4.927,0.412
4.947,0.405
4.968,0.403
4.987,0.41
5.007,0.415
5.027,0.422
5.048,0.418
5.067,0.415
5.088,0.414
5.108,0.419
5.127,0.415
5.147,0.422
5.167,0.427
5.188,0.426
5.207,0.421
5.228,0.422
5.248,0.429
5.268,0.424
5.288,0.423
5.309,0.42
5.328,0.416
5.348,0.409
5.368,0.414
5.389,0.415
5.408,0.413
5.429,0.413
5.449,0.409
5.468,0.409
5.487,0.403
5.507,0.398
5.528,0.387
5.547,0.379
5.568,0.383
5.588,0.391
5.608,0.395
5.627,0.398
5.648,0.401
5.668,0.4
5.688,0.398
5.708,0.401
5.729,0.394
5.748,0.391
5.768,0.395
5.788,0.388
5.807,0.387
5.827,0.396
5.847,0.404
5.868,0.404
5.887,0.406
5.908,0.41
5.928,0.407
5.948,0.41
5.967,0.412
5.988,0.399
6.008,0.396
6.028,0.406
6.048,0.407
6.069,0.405
6.088,0.408
6.108,0.407
6.128,0.408
6.147,0.404
6.167,0.395
6.187,0.384
6.208,0.39
6.227,0.391
6.248,0.385
6.268,0.381
6.288,0.378
6.307,0.378
6.328,0.379
6.348,0.383
6.368,0.387
6.388,0.385
6.408,0.383
6.427,0.379
6.446,0.381
6.467,0.389
6.487,0.397
6.507,0.397
6.527,0.397
6.548,0.396
6.567,0.405
6.588,0.4
6.608,0.394
6.628,0.39
6.647,0.395
6.668,0.391
6.687,0.391
6.706,0.386
6.726,0.379
6.746,0.369
6.766,0.373
6.785,0.377
6.806,0.372
6.826,0.362
6.846,0.367
6.866,0.366
6.887,0.364
6.906,0.365
6.927,0.363
6.947,0.357
6.967,0.361
6.986,0.355
7.007,0.354
7.027,0.359
7.046,0.362
7.067,0.36
7.087,0.362
7.107,0.359
7.126,0.351
7.147,0.349
7.167,0.342
7.187,0.34
7.207,0.339
7.228,0.336
7.247,0.339
7.267,0.337
7.287,0.333
7.308,0.331
7.327,0.33
7.348,0.337
7.368,0.332
7.387,0.329
7.406,0.325
7.426,0.328
7.447,0.326
7.466,0.322
7.487,0.322
7.507,0.319
7.527,0.327
7.546,0.319
7.567,0.324
7.587,0.335
7.607,0.331
7.627,0.332
7.648,0.334
7.667,0.338
7.686,0.332
7.707,0.336
7.727,0.336
7.747,0.338
7.767,0.341
7.788,0.343
7.807,0.332
7.827,0.331
7.847,0.332
7.868,0.327
7.887,0.326
7.908,0.32
7.928,0.318
7.948,0.321
7.967,0.314
7.988,0.315
8.008,0.314
8.027,0.31
8.048,0.313
8.068,0.311
8.088,0.315
8.107,0.318
8.128,0.316
8.148,0.32
8.168,0.319
8.188,0.321
8.209,0.324
8.228,0.333
8.249,0.332
8.269,0.335
8.289,0.336
8.308,0.337
8.328,0.333
8.348,0.334
8.367,0.329
8.388,0.329
8.408,0.336
8.428,0.341
8.447,0.337
8.468,0.335
8.488,0.344
8.508,0.347
8.528,0.355
8.549,0.354
8.568,0.35
8.588,0.346
8.608,0.348
8.629,0.351
8.648,0.346
8.668,0.345
8.688,0.345
8.707,0.345
8.727,0.341
8.747,0.335
8.768,0.343
8.787,0.348
8.808,0.347
8.828,0.347
8.848,0.354
8.867,0.347
8.888,0.343
8.908,0.34
8.928,0.342
8.948,0.344
8.968,0.345
8.987,0.347
9.006,0.347
9.027,0.349
9.047,0.351
9.067,0.355
9.087,0.354
9.108,0.355
9.127,0.357
9.148,0.358
9.168,0.36
9.188,0.355
9.207,0.351
9.228,0.359
9.248,0.354
9.268,0.347
9.288,0.347
9.308,0.35
9.327,0.348
9.346,0.349
9.367,0.35
9.387,0.35
9.407,0.351
9.427,0.35
9.448,0.343
9.467,0.338
9.487,0.341
9.507,0.346
9.528,0.342
9.547,0.342
9.568,0.343
9.588,0.344
9.607,0.346
9.626,0.341
9.646,0.341
9.667,0.346
9.686,0.345
9.707,0.336
9.727,0.332
9.747,0.337
9.766,0.336
9.787,0.338
9.807,0.341
9.827,0.331
9.847,0.33
9.868,0.336
9.887,0.342
9.906,0.343
9.926,0.342
9.946,0.337
9.966,0.341
