t,y
0.021,-0.226
0.041,-0.206
0.061,-0.188
0.08,-0.032
0.101,-0.155
0.121,-0.157
0.141,-0.111
0.161,-0.06
0.182,-0.112
0.201,-0.074
0.22,-0.051
0.24,-0.09
0.26,-0.072
0.28,-0.033
0.3,-0.045
0.321,-0.044
0.34,-0.013
0.36,-0.022
0.38,-0.031
0.401,-0.018
0.42,-0.013
0.441,-0.015
0.461,0.001
0.481,0.017
0.501,0.022
0.522,0.031
0.541,0.044
0.561,0.034
0.581,0.038
0.6,0.048
0.62,0.063
0.64,0.078
0.66,0.1
0.679,0.114
0.7,0.125
0.72,0.126
0.74,0.129
0.76,0.127
0.781,0.136
0.8,0.145
0.821,0.165
0.841,0.176
0.86,0.179
0.88,0.187
0.9,0.2
0.92,0.187
0.939,0.196
0.96,0.209
0.98,0.216
1,0.221
1.02,0.224
1.041,0.223
1.06,0.231
1.081,0.237
1.101,0.246
1.121,0.246
1.14,0.247
1.16,0.256
1.18,0.255
1.199,0.261
1.22,0.266
1.24,0.277
1.26,0.268
1.279,0.261
1.3,0.26
1.32,0.258
1.34,0.268
1.36,0.281
1.381,0.29
1.4,0.293
1.421,0.298
1.441,0.297
1.461,0.304
1.48,0.313
1.5,0.315
1.519,0.325
1.539,0.329
1.56,0.331
1.579,0.336
1.599,0.346
1.619,0.344
1.64,0.348
1.659,0.35
1.68,0.349
1.7,0.385
1.72,0.4
1.74,0.404
1.761,0.399
1.78,0.406
1.8,0.404
1.82,0.409
1.839,0.403
1.859,0.41
1.879,0.423
1.9,0.432
1.919,0.436
1.94,0.433
1.96,0.433
1.98,0.434
2,0.429
2.021,0.433
2.04,0.431
2.06,0.43
2.08,0.429
2.101,0.427
2.12,0.427
2.14,0.369
2.16,0.345
2.179,0.306
2.199,0.257
2.219,0.225
2.24,0.201
2.259,0.185
2.28,0.201
2.3,0.223
2.32,0.241
2.34,0.236
2.361,-2.839
2.38,-8.429
2.4,-13.529
2.42,-18.664
2.44,-22.965
2.459,-28.645
2.478,-33.087
2.499,-37.305
2.519,-39.133
2.539,-39.585
2.558,-37.21
2.579,-35.379
2.599,-30.846
2.62,-25.503
2.639,-20.823
2.66,-15.429
2.68,-9.317
2.7,-6.187
2.719,-0.676
2.74,2.781
2.76,6.382
2.779,8.836
2.8,11.216
2.82,13.691
2.84,15.193
2.859,17.382
2.88,19.208
2.9,21.309
2.92,22.644
2.939,24.287
2.96,25.617
2.98,27.155
3,27.479
3.019,27.784
3.04,27.255
3.06,26.491
3.079,25.083
3.098,23.46
3.118,21.392
3.139,19.05
3.158,16.719
3.178,14.833
3.198,12.654
3.219,10.278
3.238,8.202
3.258,6.417
3.278,6.199
3.299,4.783
3.318,3.987
3.339,3.185
3.359,2.204
3.378,1.496
3.398,0.321
3.418,-0.466
3.438,-1.778
3.457,-2.918
3.478,-3.734
3.498,-4.707
3.518,-5.444
3.537,-5.663
3.558,-5.573
3.578,-5.36
3.598,-4.692
3.618,-3.111
3.639,-1.925
3.658,-0.918
3.677,0.635
3.697,0.622
3.717,1.811
3.737,2.317
3.757,3.073
3.778,3.225
3.797,2.421
3.817,2.887
3.837,2.805
3.858,2.923
3.877,3.213
3.898,3.742
3.918,4.036
3.938,4.642
3.958,4.935
3.979,5.298
3.998,5.573
4.017,5.223
4.037,5.197
4.057,4.883
4.077,4.653
4.096,4.217
4.117,3.76
4.137,3.259
4.157,2.761
4.177,2.508
4.198,2.147
4.217,2.173
4.238,1.891
4.258,1.738
4.278,1.613
4.297,1.262
4.317,2.105
4.337,2.174
4.356,2.425
4.377,2.744
4.397,2.446
4.417,2.201
4.436,2.133
4.457,1.474
4.477,1.44
4.497,1.135
4.517,0.828
4.538,0.79
4.557,0.669
4.577,0.526
4.597,0.571
4.618,0.581
4.637,0.564
4.657,0.648
4.677,0.688
4.696,0.684
4.716,0.763
4.736,0.808
4.757,0.819
4.776,0.861
4.797,0.908
4.817,0.903
4.837,0.92
4.857,0.931
4.878,0.924
4.897,0.911
4.917,0.919
4.937,0.892
4.957,0.876
4.976,0.87
4.996,0.857
5.017,0.848
5.036,0.84
5.056,0.834
5.076,0.828
5.097,0.824
5.116,0.812
5.137,0.8
5.157,0.797
5.177,0.791
5.196,0.787
5.217,0.779
5.237,0.769
5.256,0.759
5.276,0.747
5.296,0.737
5.317,0.727
5.336,0.714
5.357,0.71
5.377,0.697
5.397,0.689
5.417,0.687
5.438,0.683
5.457,0.674
5.477,0.663
5.497,0.658
5.518,0.658
5.537,0.652
5.558,0.644
5.578,0.631
5.597,0.629
5.616,0.619
5.636,0.613
