t,y
7.855,0.878
7.875,0.88
7.895,0.91
7.915,0.557
7.934,0.91
7.955,0.719
7.975,0.761
7.995,0.868
8.015,0.736
8.036,0.751
8.055,0.807
8.076,0.741
8.096,0.749
8.116,0.814
8.136,0.775
8.156,0.779
8.175,0.812
8.194,0.777
8.215,0.771
8.235,0.801
8.255,0.781
8.275,0.779
8.296,0.807
8.315,0.798
8.336,0.788
8.356,0.804
8.376,0.8
8.396,0.792
8.417,0.802
8.436,0.803
8.455,0.791
8.475,0.794
8.495,0.795
8.515,0.791
8.535,0.8
8.556,0.801
8.575,0.798
8.596,0.805
8.616,0.806
8.636,0.801
8.655,0.807
8.676,0.812
8.696,0.816
8.716,0.813
8.736,0.815
8.757,0.817
8.776,0.823
8.796,0.828
8.816,0.83
8.835,0.839
8.856,0.841
8.876,0.842
8.896,0.842
8.915,0.841
8.936,0.841
8.956,0.84
8.976,0.84
8.996,0.844
9.017,0.844
9.036,0.846
9.057,0.85
9.077,0.907
9.096,0.45
9.116,0.504
9.136,0.319
9.156,0.466
9.176,0.682
9.197,0.596
9.216,0.626
9.236,0.713
9.256,0.611
9.277,0.593
9.296,0.65
9.317,0.59
9.337,0.569
9.357,0.624
9.377,0.611
9.398,0.59
9.417,0.616
9.437,0.608
9.457,0.58
9.476,0.596
9.497,0.592
9.517,0.567
9.537,0.59
9.557,0.594
9.578,0.574
9.597,0.579
9.617,0.579
9.637,0.567
9.658,0.576
9.677,0.581
9.698,0.575
9.718,0.583
9.738,0.452
9.758,0.505
9.778,0.73
9.797,0.563
9.817,0.648
9.838,0.728
9.857,0.55
9.878,0.612
9.898,0.669
9.918,0.57
9.938,0.613
9.959,0.671
9.978,0.601
