t,y
0.021,10.944
0.041,7.169
0.061,1.513
0.081,-3.879
0.102,-8.635
0.121,-13.025
0.142,-13.717
0.162,-16.319
0.182,-16.707
0.202,-18.849
0.223,-19.507
0.242,-20.229
0.262,-21.753
0.283,-20.898
0.302,-19.876
0.322,-18.913
0.342,-17.717
0.363,-16.147
0.382,-13.856
0.403,-10.901
0.423,-9.323
0.443,-7.023
0.463,-4.81
0.484,-1.893
0.503,0.392
0.524,3.191
0.544,5.321
0.564,7.683
0.584,9.582
0.604,11.262
0.623,12.873
0.643,14.098
0.664,15.438
0.683,16.05
0.704,16.476
0.724,17.03
0.744,16.607
0.764,16.171
0.785,16.081
0.804,14.894
0.825,14.113
0.845,12.836
0.865,11.217
0.884,9.782
0.904,7.583
0.923,7.644
0.942,6.351
0.963,5.009
0.982,3.633
1.003,1.895
1.023,0.165
1.043,-1.18
1.063,-2.531
1.084,-3.886
1.103,-4.506
1.124,-5.842
1.144,-6.062
1.164,-5.953
1.184,-6.539
1.205,-6.324
1.224,-6.729
1.244,-6.546
1.264,-6.464
1.283,-6.168
1.304,-5.554
1.324,-4.854
1.344,-3.998
1.364,-2.97
1.385,-1.782
1.404,-0.637
1.425,0.65
1.445,1.7
1.465,1.019
1.485,2.01
1.505,2.283
1.524,3.548
1.544,3.896
1.563,4.844
1.582,4.926
1.603,5.531
1.622,5.505
1.642,6.019
1.662,6.101
1.682,5.699
1.702,5.74
1.723,5.25
1.742,5.258
1.763,4.92
1.783,4.241
1.803,4.123
1.823,3.552
1.844,2.908
1.863,2.511
1.883,1.859
1.904,1.042
1.923,1.284
1.944,1.101
1.964,1.48
1.984,0.916
2.004,0.636
2.024,0.11
2.043,-0.299
2.064,-0.622
2.083,-0.794
2.103,-0.943
2.123,-0.524
2.143,-0.918
2.163,-0.31
2.183,-0.541
2.202,-0.606
2.222,-0.298
2.243,-0.337
2.262,-0.285
2.283,0.001
2.303,0.086
2.323,0.147
2.343,0.388
2.364,0.547
2.383,0.6
2.404,0.778
2.423,0.912
2.443,0.953
2.463,1.045
2.482,1.119
2.502,1.107
2.522,1.122
2.542,1.143
2.562,1.098
2.583,1.063
2.602,1.068
2.623,1.049
2.643,1.039
2.663,1.057
2.683,1.059
2.704,1.037
2.723,1.035
2.744,1.035
2.764,1.016
2.784,1.013
2.804,1.02
2.824,1.019
2.843,1.015
2.863,1.027
2.884,1.016
2.903,1.014
2.924,1.007
2.944,1
2.964,0.993
2.984,0.991
3.005,0.991
3.024,0.984
3.045,0.989
3.064,0.982
3.084,0.979
3.104,0.975
3.124,0.972
3.143,0.969
3.163,0.966
3.183,0.964
3.203,0.963
3.224,0.965
3.243,0.962
3.264,0.956
3.283,0.956
3.303,0.951
3.323,0.959
3.343,0.955
3.362,0.953
3.383,0.954
3.402,0.951
3.421,0.947
3.441,0.944
3.46,0.932
3.48,0.928
3.5,0.932
3.52,0.928
3.54,0.925
3.561,0.924
3.58,0.921
3.601,0.92
3.621,0.923
3.641,0.918
3.661,0.914
3.682,-4.814
3.701,-9.964
3.722,-14.892
3.742,-20.104
3.761,-22.402
3.781,-25.175
3.801,-26.73
3.821,-28.063
3.841,-28.271
3.862,-28.641
3.881,-29.014
3.901,-28.645
3.921,-26.897
3.942,-25.017
3.961,-23.479
3.982,-20.904
4.002,-17.893
4.022,-16.112
4.042,-13.122
4.063,-10.004
4.082,-7.016
4.102,-3.95
4.123,-0.409
4.142,2.181
4.163,5.094
4.183,7.798
4.203,10.169
4.223,12.063
4.244,14.158
4.263,15.358
4.284,16.985
4.304,17.597
4.324,18.02
4.344,18.438
4.365,17.706
4.384,17.218
4.404,16.461
4.424,15.565
4.444,14.183
4.463,12.585
4.483,10.835
4.504,8.264
4.523,7.15
4.544,5.918
4.564,4.263
4.584,2.199
4.604,1.155
4.625,-1.295
4.644,-2.521
4.665,-4.7
4.684,-5.996
4.704,-7.511
4.724,-8.385
4.743,-9.115
4.762,-9.649
4.782,-10.372
4.803,-10.436
4.822,-10.284
4.843,-10.171
4.863,-9.582
4.883,-9.223
4.903,-8.588
4.924,-7.797
4.943,-6.797
4.964,-5.613
4.984,-4.279
5.004,-2.805
5.024,-2.684
5.045,-2.322
5.064,-1.23
5.084,-0.466
5.104,0.876
5.123,2.185
5.144,2.997
5.164,4.51
5.184,4.72
5.204,5.608
5.224,5.824
5.243,6.448
5.264,6.667
5.283,6.75
5.303,6.659
5.323,6.697
5.343,6.046
5.363,6.18
5.383,5.526
5.402,5.098
5.422,4.624
5.443,3.745
5.462,3.071
5.483,2.329
5.503,1.448
5.523,0.666
5.543,-0.252
5.564,0.426
5.583,0.454
5.604,0.167
5.624,-0.143
5.644,-0.85
5.664,-1.562
5.684,-1.579
5.703,-1.718
5.723,-1.556
5.743,-1.523
5.762,-1.477
5.783,-1.448
5.803,-1.266
5.823,-1.221
5.843,-1.147
5.864,-1.002
5.883,-0.829
5.904,-0.635
5.923,-0.413
5.943,-0.173
5.963,0.059
5.983,0.305
6.002,0.539
6.022,0.77
6.042,0.955
6.061,1.126
6.082,1.285
6.101,1.56
6.121,1.029
6.141,0.956
6.161,0.629
6.181,0.931
6.202,1.242
6.221,1.076
6.242,1.189
6.262,1.359
6.282,1.226
6.302,1.219
6.322,1.283
6.341,1.164
6.361,1.124
6.382,1.178
6.401,1.121
6.422,1.071
6.442,1.109
6.462,1.094
6.482,1.047
6.502,1.078
6.521,1.077
6.542,1.048
6.561,1.058
6.582,1.068
6.602,1.044
6.621,1.045
6.641,1.058
6.661,1.041
6.681,1.037
6.701,1.056
6.722,1.043
6.741,1.034
6.762,1.044
6.782,1.044
6.802,1.037
6.822,1.038
6.843,1.033
6.862,1.029
6.883,1.024
6.903,1.018
6.923,1.006
6.943,1.004
6.964,1.007
6.983,1.004
7.003,0.998
7.023,1.005
7.042,0.998
7.063,0.988
7.082,0.987
7.103,0.993
7.123,0.995
7.143,0.995
7.163,0.989
7.184,0.991
7.203,0.991
7.224,0.995
7.244,0.985
7.264,0.978
7.284,0.978
7.304,0.965
7.323,0.956
7.343,0.959
7.364,0.953
7.383,0.948
7.404,0.959
7.423,0.959
7.443,0.948
7.463,0.952
7.483,0.951
7.502,0.95
7.523,0.95
7.542,0.951
7.563,0.955
7.583,0.948
7.602,0.951
7.622,0.945
7.642,0.946
7.662,0.946
7.682,0.947
7.703,0.946
7.722,0.944
7.743,0.94
7.763,0.935
7.783,0.934
7.803,0.927
7.823,0.929
7.842,0.922
7.863,0.915
7.882,0.918
7.901,0.919
7.921,0.923
7.94,0.923
7.96,0.922
7.98,0.918
8,0.914
8.019,0.914
8.04,0.912
8.059,0.907
8.08,0.904
8.1,0.905
8.12,0.902
8.14,0.913
8.161,0.918
8.18,0.907
8.2,0.91
8.22,0.91
8.24,0.907
8.261,0.907
8.28,0.902
8.301,0.901
8.321,0.903
8.341,0.912
8.361,0.906
8.382,0.898
8.401,0.906
8.422,0.903
