t,y
0.021,-0.288
0.041,-0.273
0.061,-0.248
0.08,-0.554
0.101,0.079
0.121,-0.147
0.141,-0.276
0.161,-0.067
0.182,0.122
0.201,-0.113
0.22,-0.156
0.24,-0.103
0.26,-0.196
0.28,-0.162
0.3,-0.096
0.321,-0.076
0.34,-0.034
0.361,-0.007
0.381,0.005
0.401,0.017
0.42,0.027
0.441,0.038
0.461,0.057
0.481,0.079
0.501,0.092
0.522,0.111
0.541,0.121
0.561,0.141
0.581,0.156
0.6,0.156
0.62,0.164
0.64,0.184
0.661,0.189
0.68,0.197
0.701,0.217
0.721,0.225
0.741,-7.051
0.76,-10.401
0.781,-14.521
0.801,-19.146
0.821,-24.161
0.841,-29.477
0.861,-34.181
0.881,-38.542
0.9,-38.99
0.92,-39.79
0.94,-38.859
0.961,-36.007
0.98,-32.56
1,-28.234
1.02,-23.341
1.041,-18.052
1.06,-14.373
1.08,-8.862
1.1,-3.137
1.121,1.028
1.14,3.938
1.16,7.608
1.18,9.721
1.199,11.581
1.219,13.293
1.239,14.517
1.26,15.739
1.279,16.9
1.299,17.841
1.319,18.925
1.34,19.772
1.359,21.033
1.38,21.53
1.4,22.531
1.421,22.423
1.44,22.25
1.461,21.636
1.481,20.43
1.501,19.058
1.52,17.345
1.54,15.11
1.561,13.053
1.581,10.91
1.601,8.668
1.621,6.993
1.642,4.611
1.661,2.985
1.681,3.427
1.701,2.192
1.722,2.255
1.741,1.606
1.762,1.543
1.782,1.167
1.802,0.465
1.822,-0.269
1.842,-1.355
1.861,-2.288
1.88,-3.333
1.901,-3.716
1.921,-4.343
1.941,-4.411
1.96,-3.96
1.981,-3.727
2.001,-2.385
2.021,-2.191
2.041,-0.777
2.062,0.022
2.081,1.016
2.101,1.583
2.121,2.305
2.141,2.842
2.16,3.425
2.18,4.17
2.201,3.172
2.22,3.571
2.241,2.81
2.261,3.428
2.281,2.716
2.3,3.269
2.321,2.99
2.341,3.711
2.361,3.472
2.381,4.154
2.402,4.045
2.421,4.147
2.44,4.213
2.46,4.035
2.48,3.929
2.5,3.674
2.52,3.443
2.541,3.008
2.56,2.658
2.58,2.358
2.6,2.158
2.621,1.876
2.64,1.775
2.661,1.613
2.681,1.438
