t,y
0.02,1.263
0.04,1.176
0.061,1.582
0.08,1.406
0.101,1.294
0.121,1.384
0.141,1.299
0.16,1.29
0.181,1.339
0.201,1.315
0.22,1.317
0.239,1.347
0.259,1.327
0.28,1.308
0.299,1.315
0.319,1.296
0.339,1.284
0.36,1.297
0.379,1.286
0.399,1.282
0.419,1.29
0.44,1.286
0.459,1.276
0.48,1.272
0.5,1.27
0.52,1.265
0.539,1.266
0.559,1.264
0.58,1.262
0.6,1.256
0.62,1.257
0.64,1.256
0.661,1.252
0.68,1.249
0.7,1.241
0.72,1.233
0.741,1.229
0.76,1.229
0.78,1.231
0.8,1.233
0.821,1.237
0.84,1.228
0.859,1.22
0.88,1.221
0.9,1.216
0.92,1.212
0.939,1.217
0.96,1.218
0.98,1.22
1,1.208
1.019,1.209
1.04,1.209
1.06,1.205
1.08,1.199
1.1,1.201
1.121,1.195
1.141,1.199
1.16,1.204
1.18,1.321
1.2,-4.686
1.22,-8.458
1.239,-11.733
1.26,-18.015
1.28,-21.798
1.301,-27.022
1.32,-30.509
1.341,-33.508
1.361,-34.341
1.382,-33.804
1.401,-31.289
1.421,-27.643
1.441,-24.337
1.462,-19.284
1.482,-13.842
1.501,-10.475
1.521,-6.051
1.541,-1.576
1.562,2.844
1.581,4.162
1.602,7.763
1.622,9.452
1.642,11.558
1.661,13.217
1.682,15.408
1.702,17.121
1.723,18.779
1.742,19.757
1.763,21.327
1.783,22.147
1.804,23.251
1.823,23.435
1.844,23.639
1.864,23.142
1.884,22.517
1.903,21.221
1.922,19.885
1.943,18.201
1.963,16.518
1.983,14.394
2.002,12.738
2.023,10.53
2.043,8.669
2.064,6.7
2.083,4.479
2.104,4.75
2.124,3.151
2.144,3.779
2.163,2.746
2.183,2.831
2.203,2.319
2.222,1.041
2.242,0.486
2.262,-0.937
2.283,-1.189
2.302,-2.422
2.323,-2.235
2.343,-3.259
2.364,-2.907
2.383,-3.182
2.404,-2.024
2.424,-2.007
2.444,-0.7
2.463,-0.119
2.484,1.152
2.504,1.553
2.523,2.337
2.542,2.639
2.562,3.374
2.583,3.973
2.602,4.417
2.622,4.41
2.642,4.025
2.663,3.714
2.682,3.886
2.703,3.72
2.723,3.877
2.744,4.327
2.763,4.769
2.784,5.013
2.804,5.269
2.823,5.429
2.842,5.411
2.862,5.341
2.883,5.199
2.902,4.905
2.922,4.994
2.942,4.325
2.963,4.236
2.982,3.666
3.002,3.353
3.022,3.031
3.043,2.923
3.062,2.689
3.083,2.464
3.103,2.371
3.124,2.224
3.143,2.091
3.163,2.049
3.184,2.003
3.203,1.956
3.223,1.954
3.243,2.303
3.264,2.712
3.283,3.381
3.303,3.43
3.323,3.521
3.344,3.397
