t,theta
0.011,-0.358
0.023,-0.343
0.036,-0.331
0.048,-0.326
0.059,-0.32
0.072,-0.314
0.084,-0.307
0.096,-0.296
0.107,-0.285
0.12,-0.274
0.132,-0.268
0.144,-0.266
0.156,-0.254
0.168,-0.24
0.18,-0.229
0.192,-0.221
0.204,-0.213
0.216,-0.205
0.228,-0.201
0.239,-0.195
0.252,-0.183
0.264,-0.173
0.276,-0.158
0.288,-0.146
0.3,-0.137
0.312,-0.132
0.324,-0.12
0.336,-0.111
0.348,-0.105
0.36,-0.103
0.373,-0.097
0.384,-0.09
0.396,-0.083
0.408,-0.08
0.421,-0.078
0.432,-0.074
0.444,-0.064
0.457,-0.056
0.469,-0.054
0.48,-0.05
0.492,-0.05
0.505,-0.05
0.517,-0.045
0.528,-0.043
0.541,-0.041
0.553,-0.04
0.565,-0.035
0.576,-0.039
0.589,-0.03
0.601,-0.029
0.612,-0.028
0.625,-0.021
0.637,-0.019
0.649,-0.012
0.66,-0.007
0.673,-0.004
0.685,-0
0.697,0
0.708,0.001
0.721,0.002
0.733,0.006
0.744,0.005
0.757,0.006
0.769,0.012
0.781,0.017
0.792,0.022
0.805,0.027
0.817,0.03
0.828,0.035
0.841,0.041
0.853,0.042
0.865,0.047
0.876,0.045
0.889,0.045
0.901,0.048
0.913,0.052
0.925,0.054
0.937,0.061
0.949,0.063
0.961,0.068
0.973,0.07
0.985,2.525
0.997,7.864
1.009,10.571
1.021,13.224
1.032,15.885
1.044,17.742
1.057,20.911
1.069,23.743
1.081,26.228
1.092,28.769
1.105,31.15
1.117,32.844
1.129,34.659
1.141,35.712
1.153,36.593
1.165,37.2
1.177,37.483
1.19,37.294
1.201,36.89
1.213,36.149
1.226,34.939
1.238,33.576
1.249,31.992
1.261,30.017
1.274,27.649
1.286,25.362
1.297,22.847
1.31,19.704
1.322,16.679
1.334,13.745
1.346,10.798
1.358,7.815
1.37,4.887
1.382,1.933
1.395,-1.23
1.406,-3.888
1.418,-6.843
1.43,-9.775
1.443,-12.923
1.454,-15.574
1.466,-18.396
1.479,-21.25
1.491,-23.588
1.502,-25.463
1.514,-27.081
1.527,-28.6
1.539,-29.931
1.55,-31.078
1.561,-31.746
1.574,-32.55
1.586,-32.884
1.598,-32.836
1.611,-32.597
1.622,-32.379
1.634,-31.454
1.645,-30.457
1.658,-28.996
1.67,-27.664
1.681,-25.986
1.694,-23.786
1.706,-21.507
1.718,-19.077
1.729,-16.67
1.742,-13.686
1.754,-10.83
1.766,-7.872
1.778,-4.901
1.79,-1.969
1.802,0.951
1.814,3.846
1.826,6.698
1.838,9.555
1.85,12.378
1.863,15.405
1.874,17.749
1.886,20.18
1.898,22.227
1.911,24.26
1.923,25.938
1.934,27.188
1.947,28.474
1.959,29.356
1.971,29.788
1.982,30.049
1.995,30.068
2.007,29.977
2.019,29.711
2.031,29.038
2.043,28.33
2.055,27.372
2.067,26.114
2.08,24.586
2.091,23.116
2.103,21.311
2.115,19.36
2.128,17.091
2.14,14.856
2.151,12.709
2.164,10.085
2.176,7.599
2.188,5.078
2.199,2.737
2.212,-0.04
2.224,-2.574
2.236,-5.053
2.248,-7.474
2.26,-9.797
2.272,-12.014
2.284,-14.103
2.296,-16.036
2.308,-17.802
2.32,-19.417
2.333,-20.963
2.345,-22.147
2.356,-23.007
2.368,-23.711
2.381,-24.252
2.393,-24.434
2.405,-24.493
2.417,-24.003
2.429,-23.523
2.44,-23.052
2.451,-22.505
2.464,-21.661
2.475,-20.944
2.487,-19.773
2.499,-18.431
2.511,-16.934
2.523,-15.296
2.535,-13.548
2.548,-11.531
2.56,-9.57
2.571,-7.681
2.583,-5.565
2.596,-3.228
2.607,-1.24
2.619,0.937
2.632,3.27
2.644,5.391
2.655,7.265
2.667,9.245
2.68,11.301
2.692,13.06
2.703,14.565
2.716,16.201
2.728,17.568
2.74,18.748
2.752,19.748
2.764,20.568
2.776,21.206
2.788,21.643
2.801,21.914
2.812,21.935
2.824,21.8
2.836,21.485
2.849,20.987
2.861,20.304
2.872,19.532
2.884,18.557
2.897,17.367
2.909,16.12
2.921,14.767
2.933,13.287
2.945,11.717
2.957,10.055
2.969,8.333
2.981,6.564
2.993,4.746
3.005,2.916
3.018,0.926
3.029,-0.743
3.041,-2.536
3.053,-4.29
3.066,-6.133
3.077,-7.613
3.089,-9.145
3.102,-10.689
3.114,-11.996
3.125,-13.069
3.137,-14.124
3.15,-15.114
3.162,-15.873
3.174,-16.49
3.186,-16.951
3.198,-17.251
3.21,-17.387
3.222,-17.356
3.235,-17.176
3.246,-16.875
3.258,-16.414
3.271,-15.776
3.283,-15.049
3.295,-14.191
3.306,-13.291
3.319,-12.122
3.331,-10.931
3.343,-9.658
3.355,-8.304
3.367,-6.884
3.379,-5.412
3.391,-3.9
3.403,-2.37
3.415,-0.823
3.427,0.727
3.439,2.253
3.451,3.745
3.463,5.197
3.475,6.598
3.488,8.026
3.499,9.156
3.511,10.276
3.523,11.313
3.536,12.318
3.547,13.048
3.559,13.721
3.572,14.316
3.584,14.719
3.596,14.976
3.607,15.091
3.62,15.088
3.632,14.947
3.644,14.681
3.656,14.287
3.668,13.779
3.68,13.169
3.692,12.453
3.705,11.573
3.716,10.738
3.728,9.752
3.741,8.612
3.753,7.496
3.764,6.425
3.776,5.217
3.789,3.876
3.801,2.624
3.812,1.461
3.825,0.097
3.837,-1.148
3.849,-2.367
3.86,-3.452
3.873,-4.682
3.885,-5.758
3.897,-6.767
3.908,-7.622
3.921,-8.55
3.933,-9.31
3.945,-9.977
3.957,-10.538
3.969,-10.975
3.981,-11.316
3.993,-11.552
4.006,-11.687
4.017,-11.697
4.029,-11.612
4.042,-11.403
4.054,-11.125
4.066,-10.749
4.077,-10.311
4.09,-9.729
4.102,-9.097
4.114,-8.395
4.126,-7.626
4.138,-6.796
4.15,-5.917
4.162,-4.989
4.174,-4.028
4.186,-3.037
4.198,-2.028
4.211,-0.923
4.222,0.009
4.234,1.021
4.246,2.005
4.258,2.967
4.27,3.887
4.282,4.772
4.295,5.672
4.306,6.371
4.318,7.092
4.33,7.738
4.343,8.349
4.354,8.766
4.366,9.146
4.379,9.454
4.391,9.646
4.402,9.726
4.414,9.737
4.427,9.65
4.439,9.484
4.45,9.269
4.462,8.951
4.475,8.543
4.487,8.101
4.498,7.631
4.511,7.019
4.523,6.408
4.535,5.746
4.546,5.107
4.559,4.319
4.571,3.559
4.582,2.852
4.595,2.003
4.607,1.208
4.619,0.422
4.63,-0.296
4.643,-1.125
4.655,-1.872
4.667,-2.584
4.679,-3.251
4.691,-3.878
4.703,-4.464
4.715,-4.987
4.727,-5.455
4.739,-5.86
4.751,-6.201
4.764,-6.496
4.775,-6.68
4.787,-6.815
4.799,-6.88
4.812,-6.872
4.823,-6.803
4.835,-6.672
4.847,-6.495
4.86,-6.245
4.871,-5.986
4.883,-5.66
4.896,-5.262
4.908,-4.849
4.919,-4.439
4.931,-3.956
4.944,-3.403
4.956,-2.871
4.967,-2.372
4.98,-1.762
4.992,-1.197
5.004,-0.625
5.015,-0.1
5.028,0.518
5.04,1.074
5.052,1.608
5.064,2.12
5.076,2.611
5.088,3.063
5.1,3.481
5.112,3.859
5.124,4.195
5.136,4.488
5.149,4.751
5.16,4.912
5.172,5.06
5.184,5.143
5.197,5.186
5.208,5.167
5.22,5.102
5.233,4.989
5.245,4.853
5.256,4.689
5.268,4.483
5.281,4.233
5.292,3.988
5.304,3.696
5.316,3.386
5.329,3.026
5.34,2.705
5.352,2.342
5.365,1.934
5.377,1.55
5.388,1.192
5.4,0.807
5.413,0.399
5.425,0.019
5.436,-0.307
5.449,-0.681
5.461,-1.013
5.472,-1.299
5.484,-1.589
5.497,-1.871
5.509,-2.112
5.521,-2.313
5.533,-2.483
5.545,-2.614
5.557,-2.722
5.569,-2.79
5.581,-2.828
5.593,-2.844
5.605,-2.815
5.618,-2.758
5.629,-2.688
