t,theta
5.641,-2.599
5.653,-2.489
5.666,-2.35
5.677,-2.217
5.689,-2.058
5.702,-1.875
5.714,-1.69
5.725,-1.512
5.737,-1.32
5.75,-1.093
5.762,-0.879
5.773,-0.686
5.785,-0.476
5.798,-0.251
5.81,-0.047
5.821,0.134
5.834,0.342
5.846,0.523
5.858,0.695
5.869,0.844
5.882,0.998
5.894,1.126
5.906,1.248
5.918,1.345
5.93,1.422
5.942,1.479
5.954,1.521
5.966,1.546
5.978,1.546
5.99,1.533
6.003,1.511
6.014,1.478
6.026,1.435
6.038,1.386
6.051,1.327
6.062,1.272
6.074,1.211
6.087,1.14
6.099,1.073
6.11,1.004
6.122,0.933
6.135,0.857
6.147,0.791
6.158,0.726
6.171,0.66
6.183,0.595
6.194,0.536
6.206,0.48
6.219,0.42
6.231,0.369
6.242,0.32
6.254,0.278
6.267,0.242
6.279,0.214
6.29,0.19
6.303,0.166
6.315,0.157
6.327,0.154
6.338,0.149
6.351,0.152
6.363,0.157
6.375,0.162
6.387,0.174
6.399,0.175
6.411,0.183
6.422,0.192
6.435,0.201
6.447,0.195
6.459,0.191
6.471,0.183
6.483,0.175
6.495,0.172
6.507,0.17
6.519,0.167
6.531,0.164
6.543,0.169
6.556,0.174
6.567,0.176
6.579,0.181
6.591,0.182
6.604,0.181
6.615,0.181
6.627,0.185
6.639,0.182
6.652,0.181
6.663,0.181
6.675,0.182
6.688,0.183
6.699,0.181
6.711,0.181
6.723,0.182
6.736,0.18
6.747,0.181
6.759,0.177
6.772,0.177
6.784,0.174
6.795,0.17
6.807,0.167
6.82,0.165
6.832,0.164
6.843,0.157
6.856,0.159
6.868,0.163
6.88,0.159
6.891,0.161
6.904,0.163
6.916,0.166
6.927,0.169
6.94,0.172
6.952,0.166
6.964,0.165
6.975,0.16
6.988,0.164
7,0.167
7.012,0.17
7.023,0.166
7.036,0.166
7.048,0.168
7.06,0.169
7.072,0.17
7.084,0.166
7.096,0.171
7.107,0.175
7.12,0.17
7.132,0.172
7.144,0.172
7.156,0.167
7.168,0.168
7.18,0.166
7.192,0.169
7.204,0.173
7.216,0.165
7.228,0.171
7.241,0.179
7.252,0.18
7.264,0.18
7.276,0.18
7.289,0.171
7.3,0.165
7.312,0.166
7.325,0.171
7.336,0.173
7.348,0.173
7.36,0.174
7.373,0.181
7.384,0.18
7.396,0.189
7.409,0.19
7.421,0.189
7.432,0.183
7.444,0.182
7.457,0.176
7.469,0.175
7.48,0.174
7.492,0.185
7.505,0.189
7.517,0.19
7.528,0.188
7.541,0.194
7.553,0.196
7.564,0.188
7.576,0.187
7.589,0.194
7.601,0.191
7.612,0.188
7.625,0.191
7.637,0.186
7.649,0.195
7.66,0.2
7.673,0.203
7.685,0.202
7.697,0.207
7.709,0.213
7.721,0.211
7.733,0.21
7.744,0.209
7.757,0.202
7.769,0.194
7.781,0.196
7.793,0.204
7.805,0.203
7.817,0.203
7.829,0.202
7.841,0.201
7.853,0.205
7.865,0.201
7.878,0.201
7.889,0.2
7.901,0.201
7.913,0.198
7.925,0.193
7.937,0.194
7.949,0.191
7.961,0.185
7.973,0.188
7.985,0.185
7.997,0.183
8.01,0.185
8.021,0.184
8.033,0.184
8.045,0.187
8.058,0.188
8.069,0.185
8.081,0.183
8.094,0.182
8.106,0.179
8.117,0.178
8.129,0.18
8.142,0.176
8.153,0.174
8.165,0.176
8.178,0.184
8.19,0.184
8.201,0.186
8.213,0.187
8.226,0.183
8.238,0.183
8.249,0.178
8.262,0.179
8.274,0.178
8.286,0.185
8.297,0.189
8.31,0.187
8.322,0.195
8.333,0.197
8.345,0.194
8.358,0.2
8.37,0.198
8.381,0.195
8.394,0.195
8.406,0.196
8.418,0.194
8.429,0.196
8.442,0.195
8.454,0.192
8.466,0.187
8.478,0.186
8.49,0.187
8.502,0.19
8.514,0.192
8.526,0.19
8.538,0.186
8.55,0.187
8.562,0.186
8.574,0.186
8.586,0.193
8.598,0.193
8.61,0.193
8.622,0.194
8.634,0.193
8.647,0.2
8.658,0.2
8.67,0.198
8.682,0.199
8.694,0.202
8.706,0.198
8.718,0.197
8.731,0.2
8.742,0.198
8.754,0.199
8.766,0.201
8.779,0.201
8.79,0.199
8.802,0.201
8.814,0.199
8.827,0.198
8.838,0.196
8.85,0.198
8.863,0.203
8.874,0.206
8.886,0.199
8.898,0.203
8.911,0.202
8.922,0.207
8.934,0.213
8.947,0.217
8.959,0.218
8.97,0.215
8.982,0.214
8.995,0.215
